Sentence,Case_Name,Transcript_Date,Sentence_Annotated,Sentence_Date_Normalized,Document_Date,Anchor_Date,Anchor_Date_Type,Annotator_Source
"So I just asked if you see that spot on A: Where it says ""this just came out today""?",Fauci,2022-11-23 00:00:00,"So I just asked if you see that spot on A: Where it says ""this just came out xxxtodayxxx""?",XXXX-XX-XX,,2020-01-31,,EJG
"If you look staying on Page 1, if you look immediately above your e-mail, do you see the kind of response e-mail from Dr. Anderson?",Fauci,2022-11-23 00:00:00,"If you look staying on Page 1, if you look immediately above your e-mail, do you see the kind of response e-mail from Dr. Anderson?",,,,,EJG
"where he mentions I should mention that after discussions earlier today, says Dr. Anderson, Eddie, Bob, Mike and myself all find the genome inconsistent with expectations from evolutionary theory? A: Right.",Fauci,2022-11-23 00:00:00,"where he mentions I should mention that after discussions earlier xxxtodayxxx, says Dr. Anderson, Eddie, Bob, Mike and myself all find the genome inconsistent with expectations from evolutionary theory? A: Right.",XXXX-XX-XX,,2020-01-31,,Consensus
"Does that is that the sort of concern that he had raised in the call you had earlier that day on Friday, January 31st?",Fauci,2022-11-23 00:00:00,"Does that is that the sort of concern that he had raised in the call you had earlier that day on xxxFriday, January 31stxxx?",XXXX-01-31-05,,,coref,EJG
2432,Fauci,2022-11-23 00:00:00,2432,,,,,EJG
"The I got 2430 and then it's followed by 2431, and then it's 2421.",Fauci,2022-11-23 00:00:00,"The I got 2430 and then it's followed by 2431, and then it's 2421.",,,,,EJG
"Can you go to starting at the first page, count eight pages.",Fauci,2022-11-23 00:00:00,"Can you go to starting at the first page, count eight pages.",,,,,EJG
Christian Anderson or Jeremy Farrar raised this 2015 Nature Medicine paper in any way?,Fauci,2022-11-23 00:00:00,Christian Anderson or Jeremy Farrar raised this xxx2015xxx Nature Medicine paper in any way?,2015,2015---NA,,,EJG
"IF NOT, WE'LL COME BACK TOMORROW WITH THAT SECOND PANEL, AND WE'LL DO THE SAME THING.",Holmes,2021-08-31 00:00:00,"IF NOT, WE'LL COME BACK xxxTOMORROWxxx WITH THAT SECOND PANEL, AND WE'LL DO THE SAME THING.",2021-09-01 00:00:00,,,,EJG
THAT AGAIN WOULD BE AT 9:00 O'CLOCK TOMORROW.,Holmes,2021-08-31 00:00:00,THAT AGAIN WOULD BE AT 9:00 O'CLOCK xxxTOMORROWxxx.,2021-09-01 00:00:00,,,trans,EJG
"AS YOU KNOW, WE HAVE RESERVED THURSDAY IF WE NEED IT FOR THAT PURPOSE.",Holmes,2021-08-31 00:00:00,"AS YOU KNOW, WE HAVE RESERVED xxxTHURSDAYxxx IF WE NEED IT FOR THAT PURPOSE.",XXXX-XX-XX-04,2021-09-02---2021-08-31,2021-08-31,trans,EJG
WE WILL NOT BE IN SESSION ON FRIDAYx.,Holmes,2021-08-31 00:00:00,WE WILL NOT BE IN SESSION ON xxxFRIDAYxxxx.,XXXX-XX-XX-05,2021-09-03---2021-08-31,2021-08-31,,EJG
"THE COURT HAS HAD TRIALS DURING THE COVID CRISIS BUT NOT ONE OF THIS LENGTH, AND WE THINK THAT MAKES THE SITUATION DIFFERENT THAN IN SOME PRIOR TRIALS AND IT'S BECAUSE OF THAT UNDUE HARDSHIP PLACED ON UNVACCINATED JURORS AND ASKING THEM TO COME TO COURT FOR SEVERAL MONTHS DURING THE LENGTH OF THIS TRIAL WOULD BE AN UNDUE HARDSHIP, AND, THEREFORE, IT WOULD BE APPROPRIATE TO RELEASE THESE JURORS.",Holmes,2021-08-31 00:00:00,"THE COURT HAS HAD TRIALS DURING THE COVID CRISIS BUT NOT ONE OF THIS LENGTH, AND WE THINK THAT MAKES THE SITUATION DIFFERENT THAN IN SOME PRIOR TRIALS AND IT'S BECAUSE OF THAT UNDUE HARDSHIP PLACED ON UNVACCINATED JURORS AND ASKING THEM TO COME TO COURT FOR xxxSEVERAL MONTHSxxx DURING THE LENGTH OF THIS TRIAL WOULD BE AN UNDUE HARDSHIP, AND, THEREFORE, IT WOULD BE APPROPRIATE TO RELEASE THESE JURORS.",PXM,,,,EJG
"22, 98, 100, 103, 151, 183, 199, 218, AND 233.",Holmes,2021-08-31 00:00:00,"22, 98, 100, 103, 151, 183, 199, 218, AND 233.",,,,,EJG
"SOME OF THE JURORS THAT MR. DOWNEY READ OFF TO THE COURT TODAY WENT UP INTO THE 90'S, AND I JUST WANT TO KNOW.",Holmes,2021-08-31 00:00:00,"SOME OF THE JURORS THAT MR. DOWNEY READ OFF TO THE COURT xxxTODAYxxx WENT UP INTO THE 90'S, AND I JUST WANT TO KNOW.",2021-08-31 00:00:00,,2021-08-32,trans,EJG
"SHE CAME TO OUR COMMISSIONER AND APPARENTLY IS SCHEDULED FOR TOMORROW, AND SHE APPARENTLY HAS BROUGHT TO THE COURT PROOF OF THAT.",Holmes,2021-08-31 00:00:00,"SHE CAME TO OUR COMMISSIONER AND APPARENTLY IS SCHEDULED FOR xxxTOMORROWxxx, AND SHE APPARENTLY HAS BROUGHT TO THE COURT PROOF OF THAT.",2021-09-01 00:00:00,,,trans,EJG
"JUROR 119 IS HERE TODAY, SO HE WILL FOLLOW JUROR 95.",Holmes,2021-08-31 00:00:00,"JUROR 119 IS HERE xxxTODAYxxx, SO HE WILL FOLLOW JUROR 95.",2021-08-31 00:00:00,,,trans,EJG
"AS YOU KNOW, WE'VE GOT LIMITED ELEVATORS HERE TO BRING UP THE - HOW MANY WILL THERE BE, MS. KRATZMANN, TOTAL, TODAY?",Holmes,2021-08-31 00:00:00,"AS YOU KNOW, WE'VE GOT LIMITED ELEVATORS HERE TO BRING UP THE - HOW MANY WILL THERE BE, MS. KRATZMANN, TOTAL, xxxTODAYxxx?",2021-08-31 00:00:00,,,trans,EJG
BUT MAYBE ONE DAY.,Holmes,2021-08-31 00:00:00,BUT MAYBE xxxONE DAYxxx.,P1D,,,,EJG
"SO OUR AIR CIRCULATES, IT GOES THROUGH OUR MERV 14 FILTERS, AND I JUST WANT YOU TO KNOW THAT THIS IS AS SAFE AS WE CAN ACCOMPLISH IT WITH OUR HVAC SYSTEM.",Holmes,2021-08-31 00:00:00,"SO OUR AIR CIRCULATES, IT GOES THROUGH OUR MERV 14 FILTERS, AND I JUST WANT YOU TO KNOW THAT THIS IS AS SAFE AS WE CAN ACCOMPLISH IT WITH OUR HVAC SYSTEM.",,,,,EJG
"I will note one thing for the record, since it was one of the issues that I was uncertain about, in the end I have put the instructions regarding the three claims first, before the instruction on First Amendment protection for several reasons.",Hermes,2023-02-06 00:00:00,"I will note one thing for the record, since it was one of the issues that I was uncertain about, in the end I have put the instructions regarding the three claims first, before the   instruction on First Amendment protection for several reasons.",,,,,EJG
"But here is now what I have for 14: “It is undisputed that the MetaBirkins NFTs, including the associated images, are in at least some respects works of artistic expression, such as, for example, the addition of the total fur covering on the Birkin bag images.",Hermes,2023-02-06 00:00:00,"But here is now what I have for 14: “It is undisputed that the MetaBirkins NFTs, including the associated images, are in at least some respects works of   artistic expression, such as, for example, the addition of the   total fur covering on the Birkin bag images.",,,,,EJG
So I think that is a good rewrite with respect to that second prong.,Hermes,2023-02-06 00:00:00,So I think that is a good rewrite with respect to that second prong.,,,,,EJG
"Ashley, would you please put up the first slide here.",Hermes,2023-02-06 00:00:00,"Ashley, would you please put up the first slide here.",,,,,EJG
"And before we dive into this first flaw, you've said that there are several flaws with the survey.",Hermes,2023-02-06 00:00:00,"And before we dive into this first flaw, you've said that there are several flaws with the survey.",,,,,EJG
"1, a misclassification by Dr. Isaacson of respondents.",Hermes,2023-02-06 00:00:00,"1, a   misclassification by Dr. Isaacson of respondents.",,,,,EJG
And it dates back to 1975.,Hermes,2023-02-06 00:00:00,And it dates back to xxx1975xxx.,1975,,,,EJG
"So person 1, when they got asked question 1, ""Who makes or provides the items shown on the web page?""",Hermes,2023-02-06 00:00:00,"So person 1, when they got asked question 1, ""Who makes or provides the items shown on the web page?""",,,,,EJG
The same cannot be said of person 2.,Hermes," 2022-07---2023-02-06,,,2023-02-06---2023-02-06",The same cannot be said of person 2.,,,,,EJG
So a 9 percent figure actually could effectively be zero because it's so small it could just be the product of noise.,Hermes," 2022-07---2023-02-06,,,2023-02-06---2023-02-06",So a 9 percent figure actually could effectively be zero because it's so small it could just be the product of noise.,,,,,EJG
"You claim if someone asks a question in the very first question, for example, No.",Hermes,2023-02-06 00:00:00,"You claim if someone asks a question in the very first   question, for example, No.",,,,,EJG
"And since that time in 1975, the trademark survey community of experts has been following the practice of adding a control group; is that correct?",Hermes,2023-02-06 00:00:00,"And xxxsince that time in 1975xxx, the trademark survey community   of experts has been following the practice of adding a control   group; is that correct?",1975-01-01/2023-02-06,1975-01-01/2023-02-06,,XX; trans,Consensus
"My opinion is anchored in the documented coding of the original Eveready, and reaffirmed right here by Jerre Swann in 2022.",Hermes,2023-02-06 00:00:00,"My opinion is anchored in the documented coding of the original Eveready, and reaffirmed right here by Jerre Swann in xxx2022xxx.",2022,,,,EJG
And so the very first Eveready survey that was done didn't have a separate control group.,Hermes,2023-02-06 00:00:00,And so the very first Eveready survey that was done didn't have a separate control group.,,,,,EJG
Wallace Tashima Transcript of Proceedings Bench Trial Day 1 Proceedings reported and transcript prepared by:,Gonzalez,2017-06-26 00:00:00,Wallace Tashima Transcript of Proceedings Bench Trial xxxDay 1xxx Proceedings reported and transcript prepared by:,XXXX-XX-XX,,,trans,Consensus
"At least for the first day, let's get the appearance of all counsel here, starting with the plaintiffs.",Gonzalez,2017-06-26 00:00:00,"At least for xxxthe first dayxxx, let's get the appearance of all counsel here, starting with the plaintiffs.",XXXX-XX-XX,2017-06-26—NA,,2017-06-26,EJG
"Before we start the trial, there are several motions that have been filed over the last few days.",Gonzalez,2017-06-26 00:00:00,"Before we start the trial, there are several motions that have been filed over xxxthe last few daysxxx.",PXD,,,,EJG
Some of them I'll try to rule on today.,Gonzalez,2017-06-26 00:00:00,Some of them I'll try to rule on xxxtodayxxx.,2017-06-26 00:00:00,,,,EJG
Probably no more than 30 minutes.,Gonzalez,2017-06-26 00:00:00,Probably no more than 30 minutes.,,,,,EJG
"Plaintiffs, of course, have the burden of proof, and we'll hear first from the plaintiffs.",Gonzalez,2017-06-26 00:00:00,"Plaintiffs,  of  course,  have  the  burden  of proof,  and  we'll  hear  first  from  the  plaintiffs.",,,,,EJG
"But in April of 2006, a woman by the name of Dolores Huerta, a famous and well-known civil rights expert, a co-founder with Cesar Chavez of the United Farm Workers, was invited to speak at the Tucson High School.",Gonzalez,2017-06-26 00:00:00,"But in xxxApril of 2006xxx, a woman by the name of Dolores Huerta, a famous and well-known civil rights expert, a co-founder with Cesar Chavez of the United Farm Workers, was invited to speak at the Tucson High School.",2016-04-01 00:00:00,2016-04—NA,,,EJG
"A few months later, after the ALJ hearings, he then adopts the findings of the ALJ hearings.",Gonzalez,2017-06-26 00:00:00,"xxxA few months laterxxx, after the ALJ hearings, he then adopts the findings of the ALJ hearings.",XXXX-XX-XX/+PXM,,,,EJG
"So it's pretty clear the evidence will show, that both Horne and Huppenthal had their total focus on getting rid of the MAS program, even though there were one of the things that I important to focus on, and Mr. Horne testified to this in his report, when he first issued a finding with regard to the MAS program, he also noted that he believed that the other at least two of the other ethnic programs, the African-American ethnic program and the Asian-American ethnic program likely violated the law as well.",Gonzalez,2017-06-26 00:00:00,"So it's pretty clear the evidence will show, that both Horne and Huppenthal had their total focus on getting rid of the MAS program, even though there were one of the things that I  important to focus on, and Mr. Horne testified to this in his report, when he first issued a finding with regard to the MAS program, he also noted that he believed that the other at least two of the other ethnic programs, the African-American ethnic program and the Asian-American ethnic program likely violated the law as well.",,,,,EJG
"The issue that Tom Horne excuse me the finding that Tom Horne actually issued on January 1st, 2011, is replete with evidence and was affirmed by an administrative law judge.",Gonzalez,2017-06-26 00:00:00,"The issue that Tom Horne  excuse me  the finding that Tom Horne actually issued on xxxJanuary 1st, 2011xxx, is replete with evidence and was affirmed by an administrative law judge.",2011-01-01 00:00:00,,,,EJG
Did I need to spell my first name?,Gonzalez,2017-06-26 00:00:00,Did I need to spell my first name?,,,,,EJG
"So that way, you know, I was a former union -union head at my site, so I know that the purposes were to make sure that there wasn't any antagonism between by that would accrue through years of being the same evaluator with the same department.",Gonzalez,2017-06-26 00:00:00,"So that way, you know, I was a former union -union head at my site, so I know that the purposes were to make sure that there wasn't any antagonism between  by  that would accrue through xxxyearsxxx of being the same evaluator with the same department.",PXY,,,,Consensus
"Now, how did you first get involved with the MAS program at Tucson High?",Gonzalez,2017-06-26 00:00:00,"Now, how did you first get involved with the MAS program at Tucson High?",,,,,EJG
"And so when Sean was later hired after I started attending some of these summer institutes as one of the first employees of the Mexican-American studies department, after the name changed, that's where the connection really began.",Gonzalez,2017-06-26 00:00:00,"And so when Sean was later hired after I started attending some of these summer institutes as one of the first employees of the Mexican-American studies department, after the name changed, that's where the connection really began.",,,,,EJG
"One of the first things we wanted to do is that American in the English department, the xxjunior year was traditionally and it was even when I was in school -American literature.",Gonzalez,2017-06-26 00:00:00,"One of the first things we wanted to do is  that American  in the English department, the xxjunior yearxxx was traditionally  and it was even when I was in school -American literature.",P1Y,,,,Consensus
"That was the first time many of my students would say this is the first time not only that they saw themselves or their family or their community in this, but also it was the first time they read a book at all.",Gonzalez,2017-06-26 00:00:00,"That was the first time  many of my students would say this is the first time not only that they saw themselves or their family or their community in this, but also it was the first time they read a book at all.",,,,,EJG
"But to be fair, I should say it was anywhere from 30 to 36 per class.",Gonzalez,2017-06-26 00:00:00,"But to be fair, I should say it was anywhere from 30 to 36 per class.",,,,,EJG
"Many of my students had never read anything that reflected their region, their families, and so that's why the on-boarding year was that.",Gonzalez,2017-06-26 00:00:00,"Many of my students had never read anything that reflected their region, their families, and so that's why the xxxon-boarding yearxxx was that.",P1Y,,,,EJG
"I wanted them to see the connection there within what Shakespeare was saying about the indigenous folks of what he called, in essence, Barbados versus the rhetoric that we were still having in the 21st century.",Gonzalez,2017-06-26 00:00:00,"I wanted them to see the connection there within what Shakespeare was saying about the indigenous folks of what he called, in essence, Barbados versus the rhetoric that we were still having in the xxx21st centuryxxx.",2001-01-01/2100-12-31,2001-01-01---NA/2100-12-31---NA,NA/2100-12-31,,EJG
"4:20-CV-00804-JMB ) ADVANCED CORRECTIONAL ) HEALTHCARE, et al., ) ) May 17, 2022 Defendants. )",Hill,2022-05-17 00:00:00,"4:20-CV-00804-JMB ) ADVANCED CORRECTIONAL ) HEALTHCARE, et al., ) ) xxxMay 17, 2022xxx Defendants. )",2022-05-17 00:00:00,,,,EJG
"Esposito, RPR, CRR, CRC U.S. District Court 111 South 10th Street St. Louis, MO 63102 (314) 244-7739 Laura_Esposito@moed.uscourts.gov PRODUCED BY COURT REPORTER COMPUTER-AIDED TRANSCRIPTION 5/17/22 -Pg.",Hill,2022-05-17 00:00:00,"Esposito, RPR, CRR, CRC U.S. District Court 111 South 10th Street St. Louis, MO 63102 (314) 244-7739 Laura_Esposito@moed.uscourts.gov PRODUCED BY COURT REPORTER COMPUTER-AIDED TRANSCRIPTION xxx5/17/22xxx -Pg.",2022-05-17 00:00:00,,,,Consensus
1 INDEX OF WITNESS EXAMINATION DX CX R-DX R-CX FR-DX Lady Maakia Smith Kathleen Ratcliff (Proceedings convened in open court at 8:00 a.m.) (The following proceedings were taken outside the presence of the jury.),Hill,2022-05-17 00:00:00,1 INDEX OF WITNESS EXAMINATION DX CX R-DX R-CX FR-DX Lady Maakia Smith Kathleen Ratcliff  (Proceedings  convened  in  open  court  at  8:00  a.m.)  (The following proceedings were taken outside the presence of the jury.),,,,,EJG
"April 30th, '21.",Hill,2022-05-17 00:00:00,"xxxApril 30th, '21xxx.",2021-04-30 00:00:00,,,,EJG
"He was provided in his deposition, if you read this 30(b)(6), you would show they culled out specific documents and then had him testify about just those documents.",Hill,2022-05-17 00:00:00,"He was provided  in his deposition, if you read this 30(b)(6), you would show they culled out specific documents and then had him testify about just those documents.",,,,,EJG
"Page 62, 7 through 9.",Hill,2022-05-17 00:00:00,"Page 62, 7 through 9.",,,,,EJG
"Then, Number 64, line 13 through 17.",Hill,2022-05-17 00:00:00,"Then, Number 64, line 13 through 17.",,,,,EJG
He asked for a second opinion in mid-February.,Hill,2022-05-17 00:00:00,He asked for a second opinion in xxxmid-Februaryxxx.,XXXX-02-XX,,,,EJG
"Your Honor, we're on 73.",Hill,2022-05-17 00:00:00,"Your Honor, we're on 73.",,,,,EJG
"Through 82, line 10.",Hill,2022-05-17 00:00:00,"Through 82, line 10.",,,,,EJG
"His anger at what happened is reflection of a person being told they're going the die, that that person was going to be told they're going the die if they had gotten what you would call and I'm using your words, not mine a legitimate second opinion back at the end of February, early March when Lieutenant Taylor first made his took his step.",Hill,2022-05-17 00:00:00,"His anger at what happened is reflection of a person being told they're going the die, that that person was going to be told they're going the die if they had gotten what you would call  and I'm using your words, not mine  a legitimate second opinion back at the xxxend of February, early Marchxxx when Lieutenant Taylor first made his  took his step.","XXXX-02-XX,,, XXXX-03-XX",,,,EJG
"83/20 through 80 - well, really 86/4, but it's talking about, you know, whether he's angry with ACH.",Hill,2022-05-17 00:00:00,"83/20 through  80  - well,  really 86/4, but it's talking about, you know, whether he's angry with ACH.",,,,,EJG
