Sentences,Date
"AND THERE ARE APPROXIMATELY 3,000 CALLS A YEAR THAT COME INTO THIS SHELTER.",1/11/1995
"AND SO, THEREFORE, IF YOU DO THE ARITHMETIC, APPROXIMATELY 54,000 DOCUMENTS.",1/11/1995
"NOW, THAT'S WHAT WAS REQUESTED.",1/11/1995
I DON'T KNOW IF THEY WANT TO MODIFY THIS.,1/11/1995
"I HAD A CONVERSATION WITH MR. DARDEN, WHO INDICATED THEY I BELIEVE DID NOT HAVE ANY OBJECTION TO PROVIDING A REASONABLE COST TO AN EMPLOYEE OF SOJOURN -- AND INDEED, IT HAS TO BE AN EMPLOYEE OF SOJOURN BECAUSE WE CAN'T HAVE SOMEONE FROM OUTSIDE OF SOJOURN SEARCHING THROUGH PRIVILEGED DOCUMENTS OBVIOUSLY -- BUT EMPLOYEE OF SOJOURN TO GO THROUGH THE RECORDS AND AT A REASONABLE HOURLY RATE -- TYPICAL RATE FOR THE ACTUAL EMPLOYEES THERE IS ABOUT $10 AN HOUR -- TO GO THROUGH AND SEARCH THE DOCUMENTS FOR WHAT IS REQUESTED.",1/11/1995
"AND WE WOULD BE -- WE WOULD DO THAT IN COMPLIANCE WITH A COURT ORDER, ASSUMING THAT THERE WERE CERTAIN FINDINGS WHICH YOUR HONOR MADE WITH REGARD TO THE PRIVILEGE INITIALLY.",1/11/1995
"THERE'S ALSO A REQUEST TO HAVE, IF YOUR HONOR COMPELS DISCLOSURE, A REQUEST FOR AN IN CAMERA HEARING WITH REGARD TO THE NATURE OF THE DOCUMENTS THAT ARE -- THE COURT: PRODUCED?",1/11/1995
MS. WITHEY: -- AVAILABLE.,1/11/1995
"AND I DO NOT WANT TO -- AND I KNOW YOU CAN APPRECIATE WHY I DO NOT WANT TO COMMENT UPON WHAT ARE IN THOSE DOCUMENTS AT THIS TIME, EITHER BEFORE THE JURY IS SEQUESTERED OR BEFORE ANY IN CAMERA HEARING.",1/11/1995
SO THAT IS OUR POSITION.,1/11/1995
THE COURT: ALL RIGHT.,1/11/1995
THANK YOU.,1/11/1995
MISS BODIN.,1/11/1995
MS. BODIN: THANK YOU.,1/11/1995
THE COURT: GOOD MORNING.,1/11/1995
MS. BODIN: GOOD MORNING.,1/11/1995
LYDIA BODIN REPRESENTING THE PEOPLE.,1/11/1995
COUNSEL HAS SPECIFICALLY ASKED THE COURT TO MAKE FINDINGS WITH REGARD TO WHETHER OR NOT THE PRIVILEGE CAN BE CLAIMED BY SOJOURN; AND I AM GOING TO ASK THE COURT TO MAKE THE FINDING THAT SOJOURN IS NOT WHO IS THE PRIVILEGE HOLDER.,1/11/1995
"UNDER EVIDENCE CODE SECTION 1037.5, IT SPECIFICALLY STATES THAT A DOMESTIC VIOLENCE COUNSELOR CANNOT CLAIM THE PRIVILEGE IF NO HOLDER IS IN EXISTENCE.",1/11/1995
"HOLDER IS FURTHER DEFINED IN EVIDENCE CODE SECTION 1037.5 AS EITHER BEING, ONE, THE VICTIM, OR TWO, THE GUARDIAN OR CONSERVATOR.",1/11/1995
NEITHER ONE OF THOSE ARE IN EXISTENCE.,1/11/1995
OBVIOUSLY THE VICTIM IS DECEASED AND THERE IS NO GUARDIAN OR CONSERVATOR.,1/11/1995
"SECONDLY, EVEN ASSUMING THAT THE COURT IS ENTERTAINING THE IDEA THAT SOJOURN CAN CLAIM THE PRIVILEGE, I BELIEVE THAT THE WAIVER THAT HAS BEEN GIVEN BY THE EXECUTOR OF THE ESTATE, LOUIS BROWN, IS SUFFICIENT TO OVERCOME ANY CLAIM OF PRIVILEGE.",1/11/1995
THE -- IT'S INTERESTING BECAUSE A REPRESENTATIVE OF THE ESTATE IS NOT ONE OF THE HOLDERS OF THE PRIVILEGE AND ARGUABLY COULD NOT THEN WAIVE.,1/11/1995
"BUT IF THE COURT RECALLS THAT SECTION, I THINK THE COURT CAN MAKE AN ANALOGY TO THE PRECEDING PRIVILEGE, WHICH IS THE SEXUAL ASSAULT COUNSELOR PRIVILEGE, WHICH INTERESTINGLY ENOUGH, THE DOMESTIC VIOLENCE COUNSELOR PRIVILEGE REFERENCES INTO, ALTHOUGH IT IS SILENT WITH REGARD TO WHETHER OR NOT AN EXECUTOR CAN BE A PRIVILEGE HOLDER AS TO THE DOMESTIC VIOLENCE COUNSELOR PRIVILEGE.",1/11/1995
THE COURT: THEN DON'T THE RULES OF STATUTORY CONSTRUCTION REQUIRE THAT I ASSUME THAT SINCE THE LEGISLATURE MENTIONED OR ACKNOWLEDGED THE EXISTENCE OF A SCHEME AND BY ITS ABSENCE IN THIS STATUTE CHOSE NOT TO INCLUDE THAT?,1/11/1995
I MEAN DON'T I HAVE A ASSUME THAT UNDER THE CODE?,1/11/1995
MS. BODIN: THAT IS A CONFUSING STATUTE.,1/11/1995
COUNSEL ALLUDED TO THAT.,1/11/1995
"I THINK THERE'S SOME CONFUSION BETWEEN 1937.2, WHICH TALKS ABOUT THE PROCEDURE, THE IN CAMERA PROCEDURE, THAT THE COURT MAY FOLLOW ITS OBVIOUS DISCRETION.",1/11/1995
"THE LANGUAGE OF THE STATUTE IS ""MAY"".",1/11/1995
"IT'S NOT ""SHALL FOLLOW THIS PROCEDURE.""",1/11/1995
"IT'S INTERESTING BECAUSE IN THIS SECTION, IT TALKS ABOUT THE IN CAMERA PROCEEDING.",1/11/1995
IT CITES NOT THE PROCEDURE FOR THE SEXUAL ASSAULT PRIVILEGE.,1/11/1995
AND THAT PROCEDURE REQUIRES A BALANCING TEST WHERE YOU TAKE THE PROBATIVE VALUE OF THE INFORMATION CONTAINED IN THE RECORDS AND BALANCE THEM AGAINST THE EFFECT OF THE TREATMENT.,1/11/1995
THAT ASSUMES A LIVING VICTIM.,1/11/1995
WE DON'T HAVE A LIVING VICTIM HERE.,1/11/1995
"IT IS CONFUSING, AND I THINK COUNSEL IS CORRECT IN REQUESTING THE COURT TO MAKE CERTAIN FINDINGS.",1/11/1995
BUT I THINK THAT THE COURT WOULD NOT HAVE TO GET TO MY SECOND AND THIRD ARGUMENTS I THINK MERELY BY THE TERMS OF THE STATUTE.,1/11/1995
"THEY CAN'T CLAIM THE PRIVILEGE AND, THEREFORE, THEY SHOULD TURN OVER THE RECORDS.",1/11/1995
THE COURT: ALL RIGHT.,1/11/1995
"MS. BODIN, HOW DO WE HANDLE THE PRACTICAL OBJECTION THAT WE'RE DEALING WITH, POTENTIALLY HAVING TO SORT THROUGH BETWEEN 50- AND 60,000 DOCUMENTS AND AN EMPLOYEE OF SOJOURN IS GOING TO HAVE TO DO THIS, AND WHO IS GOING TO PAY FOR IT.",1/11/1995
"MS. BODIN: INTERESTINGLY ENOUGH, A BOARD MEMBER OF SOJOURN HAS PUBLICLY MADE A STATEMENT WITH REGARD TO WHEN NICOLE BROWN SIMPSON MADE A CONTACT WITH THE SOJOURN SHELTER NEARING THAT TIME TO RIGHT -- I BELIEVE IT WAS THE LATE 1980'S.",1/11/1995
I THINK THAT THAT WOULD CERTAINLY BE A BEGINNING POINT FOR SOJOURN.,1/11/1995
THAT'S ALREADY BEEN PUBLICLY IDENTIFIED.,1/11/1995
SO THEY HAVE A PLACE TO BEGIN.,1/11/1995
THE COURT: BUT YOUR SDT ASKS FOR MARCH OF '77.,1/11/1995
MS. BODIN: WE DID.,1/11/1995
AND WE HAVE AGREED IN OUR DISCUSSIONS WITH COUNSEL TO PAY BASICALLY A MINIMUM WAGE FOR SOMEBODY TO GO THROUGH THOSE RECORDS AND LOOK IF THE COURT DEEMS THAT NECESSARY.,1/11/1995
"THE COURT: WELL, THEY'RE ASKING FOR 10 BUCKS AN HOUR, WHICH IS MORE THAN TWICE THE MINIMUM WAGE AS IT STANDS TODAY.",1/11/1995
MS. BODIN: IT SEEMS TO ME THAT A RECORD CHECK IS A PRETTY SIMPLE THING.,1/11/1995
I THINK IT SIMPLY COULD BE DESCRIBED TO THE PERSON LOOKING.,1/11/1995
I THINK THAT COULD BE ACCOMPLISHED FAIRLY RAPIDLY.,1/11/1995
"I'M FAMILIAR WITH WHAT LOGS LOOK LIKE AND DOMESTIC VIOLENCE LOGS LOOK LIKE IN SHELTERS, AND IT'S JUST MERELY LOOKING FOR A NAME.",1/11/1995
THAT'S ALL IT IS.,1/11/1995
AND I DON'T THINK IT'S THAT MUCH WORK.,1/11/1995
"I THINK IT'S TIME CONSUMING, BUT IT'S NOT DIFFICULT WORK AND SOMETHING THAT WARRANTS $10 AN HOUR.",1/11/1995
"THE COURT: WELL, THAT'S WHAT THEY'RE ASKING FOR AND THAT'S WHAT THEY PAY THEIR PEOPLE.",1/11/1995
"SO -- MS. WITHEY: YOUR HONOR, WHAT I DID, I ASKED SOJOURN WHAT THEY PAY, FOR EXAMPLE, A RECEPTIONIST, CLERK OR CLERICAL PEOPLE.",1/11/1995
"WE ARE NOT ARGUING OVER THAT, BUT THAT IS WHAT THEY DO PAY THEM.",1/11/1995
SO I THOUGHT WE WOULD ASK FOR WHAT THEY ORDINARILY PAY THEIR PAID EMPLOYEES.,1/11/1995
"THERE ARE MANY NON- PAID EMPLOYEES, BUT PAID EMPLOYEES.",1/11/1995
THE COURT: ALL RIGHT.,1/11/1995
"ANY OTHER COMMENTS, MS. BODIN?",1/11/1995
"MS. BODIN: YOUR HONOR, I JUST SPOKE TO MR. DARDEN.",1/11/1995
WE WOULD BE WILLING TO GO AS HIGH AS $7 OR $8.00.,1/11/1995
IT'S JUST THAT WE HAVE LIMITED RESOURCES.,1/11/1995
"MS. WITHEY: THAT'S FINE, YOUR HONOR.",1/11/1995
"THE COURT: ANY OTHER COMMENT, MS. WITHEY?",1/11/1995
"MS. WITHEY: NO, YOUR HONOR.",1/11/1995
I REQUEST THAT YOU MAKE THE SPECIFIC FINDINGS THAT ARE SUPPORTED IN OUR PAPERS.,1/11/1995
"THE COURT: AT THIS TIME THEN, THE COURT WILL MAKE A FINDING THAT THE TRUSTEE OF THE ESTATE OF NICOLE BROWN SIMPSON, LOUIS BROWN, IS AUTHORIZED TO INSTRUCT THE COUNSELOR IN THE PROGRAM TO PERMIT DISCLOSURE.",1/11/1995
"THE COURT FURTHER MAKES A FINDING THAT THE WAIVER THAT IS ATTACHED TO THE ORIGINAL SUBPOENA DUCES TECUM, WHICH IS EXECUTED BY LOUIS BROWN, IS A WAIVER FOR THE PURPOSES OF DISCLOSING THE INFORMATION SOUGHT BY THE DISTRICT ATTORNEY'S OFFICE, AND THE COURT FINDS THAT THE COUNSELOR AND PROGRAM MAY NOT CLAIM THE PRIVILEGE UNDER THE MANNER IN WHICH THE STATUTE IS INTERPRETED AS ARGUED BY THE PEOPLE.",1/11/1995
"THE COURT WILL FURTHER ORDER THAT ANY DOCUMENTS PRODUCED BY THE SOJOURN PROGRAM WILL BE TRANSMITTED UNDER SEAL TO THIS COURT FOR THE COURT'S IN CAMERA REVIEW AND THAT THE DISTRICT ATTORNEY'S OFFICE REIMBURSE THE SOJOURN PROGRAM FOR THE COST AND EXPENSES OF THE DOCUMENT SEARCH AND PRODUCTION, NOT INCLUDING COUNSEL FEES.",1/11/1995
MS. WITHEY: THANKS.,1/11/1995
NO COUNSEL FEES.,1/11/1995
"THE COURT: COUNSEL, WHAT I WOULD PROPOSE WE DO THEN IS CALENDAR THE MATTER FOR A PROGRESS REPORT SOMETIME SOON.",1/11/1995
"MS. WITHEY, DO YOU HAVE ANY GUESS AS TO HOW LONG THIS IS GOING TO TAKE?",1/11/1995
"MS. WITHEY: WELL, YOUR HONOR, MY CLIENTS ARE IN THE BUILDING PURSUANT TO THE SUBPOENA: THEY HAVE BROUGHT CERTAIN DOCUMENTS WITH THEM.",1/11/1995
THERE ARE OTHER DOCUMENTS OF COURSE THEY NEED TO NOW SEARCH FOR.,1/11/1995
AND SO THOSE ARE AVAILABLE HERE TODAY.,1/11/1995
THE ADDITIONAL DOCUMENTS PURSUANT TO THE SEARCH THAT WE'VE DISCUSSED COULD BE -- I DON'T KNOW WHAT THE TIME FRAME WOULD BE FOR THEM TO BE ABLE TO GO THROUGH AND SEARCH IT.,1/11/1995
"I WOULD THINK 10 DAYS, WOULD YOU SAY?",1/11/1995
"I DON'T KNOW WHAT YOUR TIME FRAME IS, BUT SAY 15 DAYS.",1/11/1995
THE COURT: WE'RE HERE ALL DAY EVERY DAY.,1/11/1995
MS. WITHEY: OKAY.,1/11/1995
"GIVE THEM 15 DAYS TO SEARCH FOR THE DOCUMENTS, THE ADDITIONAL DOCUMENTS.",1/11/1995
WE DO HAVE SOME INITIAL DOCUMENTS WHICH YOUR HONOR CAN REVIEW IN CAMERA TODAY.,1/11/1995
THE COURT: ALL RIGHT.,1/11/1995
"MS. WITHEY, WHAT IS THE VOLUME OF THE MATERIAL YOU HAVE TODAY?",1/11/1995
MS. WITHEY: VERY SMALL.,1/11/1995
IT'S VERY EASILY REVIEWED.,1/11/1995
JUST A COUPLE PAGES.,1/11/1995
THE COURT: WOULD YOU HAVE YOUR CLIENT THEN PRODUCE THOSE IN COURT TODAY?,1/11/1995
MS. WITHEY: THEY'RE ON ANOTHER FLOOR OF THE DISTRICT ATTORNEY'S OFFICE.,1/11/1995
I WILL HAVE TO GO GET THEM AND BRING THEM BACK HERE.,1/11/1995
I CAN DO THAT.,1/11/1995
"MR. DARDEN, IF YOU WOULD.",1/11/1995
THE COURT: PERHAPS WE COULD ACCOMPLISH THAT BY A PHONE CALL.,1/11/1995
MS. WITHEY: HE'S MAKING ARRANGEMENTS TO HAVE THE WITNESSES BROUGHT UP.,1/11/1995
I WOULD LIKE TO SPEAK TO THEM BRIEFLY BEFORE SO I CAN ADVISE THEM OF YOUR HONOR'S RULING AND THE NATURE OF THE SITUATION.,1/11/1995
"THE COURT: THEN IF YOUR CLIENTS ARE HERE, THEN IT WOULD BE MY INCLINATION TO CONDUCT THE IN CAMERA REVIEW THIS MORNING.",1/11/1995
MS. WITHEY: THAT'S FINE.,1/11/1995
THE COURT: AS SOON AS POSSIBLE.,1/11/1995
"MS. WITHEY: THAT'S FINE, WITH THE UNDERSTANDING THERE MAY BE ADDITIONAL DOCUMENTS.",1/11/1995
THE COURT: MIGHT AS WELL GET THEM OUT OF THE WAY SINCE THEY'RE HERE.,1/11/1995
MS. WITHEY: I THINK THAT'S PERFECT.,1/11/1995
"THANK YOU, YOUR HONOR.",1/11/1995
THE COURT: ANY OTHER MISCELLANEOUS MATTERS WE NEED TO TAKE UP BEFORE WE -- BEFORE THE COURT ADJOURNS FOR THE IN CAMERA REVIEW?,1/11/1995
MR. COCHRAN: I WOULD LIKE TO APPROACH AGAIN WITH MR. HODGMAN.,1/11/1995
THE COURT: SURE.,1/11/1995
"(A CONFERENCE WAS HELD AT THE BENCH, NOT REPORTED.)",1/11/1995
(BRIEF PAUSE.),1/11/1995
(THE FOLLOWING PROCEEDINGS WERE HELD IN OPEN COURT:) THE COURT: ALL RIGHT.,1/11/1995
"THANK YOU, COUNSEL.",1/11/1995
ALL RIGHT.,1/11/1995
"MS. WITHEY, AGAIN, GOOD MORNING.",1/11/1995
MS. WITHEY: YES.,1/11/1995
"MY CLIENTS ARE PRESENT WITH THE DOCUMENTS, AND WE REQUEST AN IN CAMERA HEARING AS WE DISCUSSED.",1/11/1995
THE COURT: ALL RIGHT.,1/11/1995
"THEN, COUNSEL, WE WILL THEN STAND IN RECESS.",1/11/1995
"THE COURT WILL INVITE COUNSEL FOR THE PROGRAM, THE TWO PROGRAM REPRESENTATIVES -- AND COULD WE HAVE THEM PLEASE STAND AND GIVE THEIR NAMES FOR THE RECORD, PLEASE.",1/11/1995
MS. HAFNER: HOLLY HAFNER.,1/11/1995
MS. NEY: NANCY NEY.,1/11/1995
"THE COURT: COULD YOU SPELL YOUR NAMES, PLEASE?",1/11/1995
MS. HAFNER: H-A-F-N-E-R.,1/11/1995
"THE COURT: AND HOLLY IS WITH A ""Y""?",1/11/1995
MS. HAFNER: YES.,1/11/1995
"MS. NEY: LAST NAME NEY, N-E-Y.",1/11/1995
"THE COURT: COUNSEL, THEN WE'LL STAND IN RECESS.",1/11/1995
"AND, COUNSEL, WOULD YOU BRING YOU AND YOUR CLIENTS AND THEIR MATERIALS INTO CHAMBERS, PLEASE.",1/11/1995
"(A CONFERENCE WAS HELD IN CHAMBERS, TRANSCRIBED AND SEALED UNDER SEPARATE COVER.)",1/11/1995
"(PAGES 10530 THROUGH 10541, VOLUME 68A, TRANSCRIBED AND SEALED UNDER SEPARATE COVER.)",1/11/1995
"(THE FOLLOWING PROCEEDINGS WERE HELD IN OPEN COURT, OUT OF THE PRESENCE OF THE JURY:) THE COURT: ALL RIGHT.",1/11/1995
BACK ON THE RECORD IN THE SIMPSON MATTER.,1/11/1995
"MR. SIMPSON IS AGAIN PRESENT WITH COUNSEL, MR. SHAPIRO, MR. COCHRAN, MR. BAILEY, MR. UELMEN, PEOPLE REPRESENTED BY MISS BODIN, MR. DARDEN.",1/11/1995
ALSO PRESENT IS MS. WITHEY ON BEHALF OF SOJOURN.,1/11/1995
"COUNSEL, THE COURT HAS CONDUCTED AN IN CAMERA REVIEW OF TWO DOCUMENTS BROUGHT TO COURT BY THE SOJOURN PROGRAM.",1/11/1995
"I HAVE REVIEWED BOTH DOCUMENTS, AND I FIND THEM TO BE MATERIAL TO THE ISSUES AND FACTS REGARDING THIS CASE; AND I'M GOING TO ORDER THEIR PRODUCTION IN COURT.",1/11/1995
COUNSEL HAS COMPLIED BY GIVING THE COURT A PHOTOCOPY OF BOTH DOCUMENTS AND EXTENDING TO THE COURT THE ORIGINALS OF THOSE DOCUMENTS.,1/11/1995
"MS. WITHEY, I'M GOING TO ORDER THAT YOU, AS COUNSEL FOR THE PROGRAM, MAINTAIN COPY -- PHYSICAL CUSTODY OF THE ORIGINALS.",1/11/1995
"I'M GOING TO DISSEMINATE ONE PHOTOCOPY TO EACH COUNSEL, COUNSEL FOR EACH SIDE, WITH THE FOLLOWING ORDER: THIS IS NOT TO BE PHOTOCOPIED, IT IS NOT TO BE DISSEMINATED IN ANY WAY AND IS NOT TO BE DISCUSSED PUBLICLY EXCEPT FOR ON THE RECORD HERE IN COURT SHOULD THAT BECOME NECESSARY.",1/11/1995
SOJOURN IS ALSO ORDERED NOT TO DISSEMINATE ANY COPIES OF THIS OR NOT TO PUBLICLY DISCUSS THE CONTENTS OF THIS DOCUMENT UNTIL FURTHER ORDER OF THE COURT.,1/11/1995
ALL RIGHT.,1/11/1995
ANY QUESTIONS AS TO THAT ISSUE?,1/11/1995
ALL RIGHT.,1/11/1995
LET ME SEE MS. BODIN AND MR. SHAPIRO.,1/11/1995
"MS. WITHEY: THANK YOU, YOUR HONOR.",1/11/1995
"(A CONFERENCE WAS HELD AT THE BENCH, NOT REPORTED.)",1/11/1995
THE COURT: ALL RIGHT.,1/11/1995
"MS. WITHEY, IS THERE ANYTHING ELSE YOU WANT TO DISCUSS WITH THE COURT?",1/11/1995
"OTHERWISE, WE WILL STAND IN RECESS AS TO YOUR MATTERS.",1/11/1995
MS. WITHEY: THANK YOU.,1/11/1995
THERE IS NOTHING ELSE.,1/11/1995
THE COURT: THEN YOU AND YOUR CLIENTS ARE EXCUSED.,1/11/1995
"MS. WITHEY: THANK YOU, YOUR HONOR.",1/11/1995
"THE COURT: THANK YOU, LADIES.",1/11/1995
(BRIEF PAUSE.),1/11/1995
"THE COURT: COUNSEL, DO YOU WANT TO TAKE A FEW MOMENTS TO REVIEW THOSE DOCUMENTS AND DISCUSS IT WITH YOUR CLIENT?",1/11/1995
"MR. SHAPIRO: YES, YOUR HONOR.",1/11/1995
THE COURT: ALL RIGHT.,1/11/1995
WE'LL STAND IN RECESS FOR 15.,1/11/1995
(RECESS.),1/11/1995
"(A CONFERENCE WAS HELD AT THE BENCH, NOT REPORTED.)",1/11/1995
THE COURT: ALL RIGHT.,1/11/1995
BACK ON THE RECORD IN THE SIMPSON MATTER.,1/11/1995
"MR. SIMPSON IS AGAIN PRESENT WITH MR. SHAPIRO, MR. COCHRAN, MR. BAILEY, MR. UELMEN, PEOPLE REPRESENTED BY MR. GORDON, MS. BODIN AND MR. GOLDBERG.",1/11/1995
I HAVE TO HAVE A LIST UP HERE OF ALL THE LAWYERS.,1/11/1995
ALL RIGHT.,1/11/1995
"COUNSEL, THE NEXT MATTER ON THE COURT'S AGENDA FOR THIS MORNING IS THE DEFENSE MOTION IN LIMINE REGARDING 1101(B) TYPE EVIDENCE.",1/11/1995
MR. UELMEN.,1/11/1995
"MR. UELMEN: THANK YOU, YOUR HONOR.",1/11/1995
"YOUR HONOR, AT THE OUTSET OF THIS MOTION, SINCE IT WILL INVOLVE THE ADMISSIBILITY OF THE TESTIMONY OF A NUMBER OF WITNESSES WHO WILL POSSIBLY APPEAR TO TESTIFY AT THE TRIAL, WE WOULD LIKE TO ASK THAT THOSE WITNESSES BE EXCLUDED FROM THIS HEARING.",1/11/1995
"WE BELIEVE THERE IS SUBSTANTIAL DANGER OF THE ARGUMENT ON THIS MOTION AFFECTING THEIR TESTIMONY AT TRIAL AND BELIEVE THAT FOR PURPOSES OF A PRETRIAL MOTION, THERE IS NO RIGHT FOR THE WITNESSES TO BE PRESENT WHILE THE ARGUMENT TAKES PLACE.",1/11/1995
THE COURT: MR. DARDEN.,1/11/1995
"MR. DARDEN: YOUR HONOR, THE PEOPLE WOULD OBJECT TO THE EXCLUSION OF ANY MEMBER OF THE BROWN FAMILY.",1/11/1995
