Sentences,INDX,date_binary,Tags_Clean,Has_Date,Tags_Trim
"Q: IS IT IN THE CONDITION IN WHICH YOU SAW IT ON JUNE THE 13TH, 1994?",45435,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O']",1,"['Q O', ': O', 'IS O', 'IT O', 'IN O', 'THE O', 'CONDITION O', 'IN O', 'WHICH O', 'YOU O', 'SAW O', 'IT O', 'ON O', 'JUNE B-DATE', 'THE I-DATE', '13TH I-DATE', ', I-DATE', '1994 E-DATE', '? O']"
"MR. NEUFELD: Well, would you agree, sir, that if that condition in the hypothetical was correct, then the statistics that you've articulated to this jury both last week and this morning would incorrectly state the frequencies in such a way as to make them seem more rare than they really are?",275357,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['MR O', '. O', 'NEUFELD S-PERSON', ': O', 'Well O', ', O', 'would O', 'you O', 'agree O', ', O', 'sir O', ', O', 'that O', 'if O', 'that O', 'condition O', 'in O', 'the O', 'hypothetical O', 'was O', 'correct O', ', O', 'then O', 'the O', 'statistics O', 'that O', 'you O', ""'ve O"", 'articulated O', 'to O', 'this O', 'jury O', 'both O', 'last B-DATE', 'week E-DATE', 'and O', 'this O', 'morning O', 'would O', 'incorrectly O', 'state O', 'the O', 'frequencies O', 'in O', 'such O', 'a O', 'way O', 'as O', 'to O', 'make O', 'them O', 'seem O', 'more O', 'rare O', 'than O', 'they O', 'really O', 'are O', '? O']"
Q: BUT THEN HE REMARKED TO YOU AGAIN THREE TIMES ON JUNE THE 12TH THAT HE AND NICOLE WERE THROUGH?,122489,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'O', 'B-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'S-PERSON', 'O', 'O', 'O']",1,"['Q O', ': O', 'BUT O', 'THEN O', 'HE O', 'REMARKED O', 'TO O', 'YOU O', 'AGAIN O', 'THREE S-CARDINAL', 'TIMES O', 'ON O', 'JUNE B-DATE', 'THE I-DATE', '12TH E-DATE', 'THAT O', 'HE O', 'AND O', 'NICOLE S-PERSON', 'WERE O', 'THROUGH O', '? O']"
MR. DARDEN: May I reask the question?,374178,['0'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['MR O', '. O', 'DARDEN S-PERSON', ': O', 'May O', 'I O', 'reask O', 'the O', 'question O', '? O']"
"MR. DOUGLAS: DURING THE CROSS-EXAMINATION OF MR. PHILLIPS, YOUR HONOR, WE ARE -- WE WOULD LIKE TO SHOW PORTIONS OF A VIDEOTAPE THAT WE RECEIVED YESTERDAY.",47835,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'Token[6]: ""CROSS-EXAMINATION', 'O', 'O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O']",1,"['MR O', '. O', 'DOUGLAS S-PERSON', ': O', 'DURING O', 'THE O', 'CROSS-EXAMINATION O', 'OF O', 'MR O', '. O', 'PHILLIPS S-PERSON', ', O', 'YOUR O', 'HONOR O', ', O', 'WE O', 'ARE O', '-- O', 'WE O', 'WOULD O', 'LIKE O', 'TO O', 'SHOW O', 'PORTIONS O', 'OF O', 'A O', 'VIDEOTAPE O', 'THAT O', 'WE O', 'RECEIVED O', 'YESTERDAY S-DATE', '. O']"
"Just in two and a half years, during the early part of my career, I did about 64 stab wound cases in which 24 were multiple.",230408,['1'],"['O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'E-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'O', 'O']",1,"['Just O', 'in O', 'two B-DATE', 'and I-DATE', 'a I-DATE', 'half I-DATE', 'years E-DATE', ', O', 'during O', 'the O', 'early O', 'part O', 'of O', 'my O', 'career O', ', O', 'I O', 'did O', 'about B-CARDINAL', '64 E-CARDINAL', 'stab O', 'wound O', 'cases O', 'in O', 'which O', '24 S-CARDINAL', 'were O', 'multiple O', '. O']"
And they go into the truck and there is sound that I think we showed the Court yesterday where Mr. Fung says something to the effect of-- THE COURT: All right.,152614,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-ORG', 'S-DATE', 'O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['And O', 'they O', 'go O', 'into O', 'the O', 'truck O', 'and O', 'there O', 'is O', 'sound O', 'that O', 'I O', 'think O', 'we O', 'showed O', 'the O', 'Court S-ORG', 'yesterday S-DATE', 'where O', 'Mr. O', 'Fung S-PERSON', 'says O', 'something O', 'to O', 'the O', 'effect O', 'of O', '-- O', 'THE O', 'COURT O', ': O', 'All O', 'right O', '. O']"
"10 on page 16, please.",392281,['0'],"['S-CARDINAL', 'O', 'O', 'S-CARDINAL', 'O', 'O', 'O']",1,"['10 S-CARDINAL', 'on O', 'page O', '16 S-CARDINAL', ', O', 'please O', '. O']"
"(AT 12:00 P.M., THE NOON RECESS WAS TAKEN UNTIL 1:30 P.M. OF THE SAME DAY.)",151575,['1'],"['O', 'O', 'B-TIME', 'E-TIME', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'E-WORK_OF_ART', 'O', 'O', 'O', 'B-TIME', 'E-TIME', 'O', 'B-DATE', 'I-DATE', 'E-DATE', 'O', 'O']",1,"['( O', 'AT O', '12:00 B-TIME', 'P.M. E-TIME', ', O', 'THE O', 'NOON O', 'RECESS O', 'WAS O', 'TAKEN O', 'UNTIL O', '1:30 B-TIME', 'P.M. E-TIME', 'OF O', 'THE B-DATE', 'SAME I-DATE', 'DAY E-DATE', '. O', ') O']"
"MS. CLARK: Let me just ask you, since you guys left off at June 13th, when people were coming and going at Rockingham, do you recall seeing Skip Taft there?",300714,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-GPE', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'E-PERSON', 'O', 'O']",1,"['MS O', '. O', 'CLARK S-PERSON', ': O', 'Let O', 'me O', 'just O', 'ask O', 'you O', ', O', 'since O', 'you O', 'guys O', 'left O', 'off O', 'at O', 'June B-DATE', '13th E-DATE', ', O', 'when O', 'people O', 'were O', 'coming O', 'and O', 'going O', 'at O', 'Rockingham S-GPE', ', O', 'do O', 'you O', 'recall O', 'seeing O', 'Skip B-PERSON', 'Taft E-PERSON', 'there O', '? O']"
MR. GOLDBERG: And directing your attention to September--excuse me--September--excuse me--January the 4th of 1995--no.,162559,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O']",1,"['MR O', '. O', 'GOLDBERG S-PERSON', ': O', 'And O', 'directing O', 'your O', 'attention O', 'to O', 'September S-DATE', '-- O', 'excuse O', 'me O', '-- O', 'September O', '-- O', 'excuse O', 'me O', '-- O', 'January B-DATE', 'the I-DATE', '4th I-DATE', 'of I-DATE', '1995 E-DATE', '-- O', 'no O', '. O']"
"AND WHEN 1107 FIRST CAME IN IN THE LANGUAGE WE SEE IT, OPPOSITION AROSE FROM BATTERED WOMEN'S GROUPS THROUGHOUT CALIFORNIA BY PROSECUTORS, BY WOMEN'S GROUPS THROUGHOUT CALIFORNIA SAYING, ""HOLD ON.",2765,['1'],"['O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-GPE', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['AND O', 'WHEN O', '1107 S-DATE', 'FIRST O', 'CAME O', 'IN O', 'IN O', 'THE O', 'LANGUAGE O', 'WE O', 'SEE O', 'IT O', ', O', 'OPPOSITION O', 'AROSE O', 'FROM O', 'BATTERED O', ""WOMEN'S O"", 'GROUPS O', 'THROUGHOUT O', 'CALIFORNIA S-GPE', 'BY O', 'PROSECUTORS O', ', O', 'BY O', ""WOMEN'S O"", 'GROUPS O', 'THROUGHOUT O', 'CALIFORNIA S-GPE', 'SAYING O', ', O', '"" O', 'HOLD O', 'ON O', '. O']"
"ON FEBRUARY 21, SHE MAKES A ROUND-TRIP RESERVATION FOR A ROUND-TRIP TICKET FOR MARCH.",67796,['1'],"['O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O']",1,"['ON O', 'FEBRUARY B-DATE', '21 E-DATE', ', O', 'SHE O', 'MAKES O', 'A O', 'ROUND-TRIP O', 'RESERVATION O', 'FOR O', 'A O', 'ROUND-TRIP O', 'TICKET O', 'FOR O', 'MARCH S-DATE', '. O']"
"MR. BLASIER: Miss Montgomery, the two pages I showed you, one was numbered page 6 of 9 and the other was page 8 of 9.",212590,['0'],"['O', 'O', 'S-PERSON', 'O', 'O', 'S-PERSON', 'O', 'O', 'S-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'S-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'S-CARDINAL', 'O']",1,"['MR O', '. O', 'BLASIER S-PERSON', ': O', 'Miss O', 'Montgomery S-PERSON', ', O', 'the O', 'two S-CARDINAL', 'pages O', 'I O', 'showed O', 'you O', ', O', 'one S-CARDINAL', 'was O', 'numbered O', 'page O', '6 S-CARDINAL', 'of O', '9 S-CARDINAL', 'and O', 'the O', 'other O', 'was O', 'page O', '8 S-CARDINAL', 'of O', '9 S-CARDINAL', '. O']"
MR. DEEDRICK: Some of the first manmade fibers that were produced were cellulosic in nature.,288987,['0'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'S-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['MR O', '. O', 'DEEDRICK S-PERSON', ': O', 'Some O', 'of O', 'the O', 'first S-ORDINAL', 'manmade O', 'fibers O', 'that O', 'were O', 'produced O', 'were O', 'cellulosic O', 'in O', 'nature O', '. O']"
Was the visit to the Bronco on August 26th done for forensic purposes?,370355,['1'],"['O', 'O', 'O', 'O', 'O', 'S-ORG', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O']",1,"['Was O', 'the O', 'visit O', 'to O', 'the O', 'Bronco S-ORG', 'on O', 'August B-DATE', '26th E-DATE', 'done O', 'for O', 'forensic O', 'purposes O', '? O']"
"MR. SCHECK: September 21st, a day?",203140,['1'],"['O', 'O', 'S-PERSON', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O']",1,"['MR O', '. O', 'SCHECK S-PERSON', ': O', 'September B-DATE', '21st E-DATE', ', O', 'a O', 'day O', '? O']"
The court is also persuaded by the representations of counsel that the information from Mr. Rubin was reasonably not presented to them prior to the resting on July the 6th.,404228,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'E-DATE', 'O']",1,"['The O', 'court O', 'is O', 'also O', 'persuaded O', 'by O', 'the O', 'representations O', 'of O', 'counsel O', 'that O', 'the O', 'information O', 'from O', 'Mr. O', 'Rubin S-PERSON', 'was O', 'reasonably O', 'not O', 'presented O', 'to O', 'them O', 'prior O', 'to O', 'the O', 'resting O', 'on O', 'July B-DATE', 'the I-DATE', '6th E-DATE', '. O']"
A: I RECOVERED THE BAG YESTERDAY.,130409,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O']",1,"['A O', ': O', 'I O', 'RECOVERED O', 'THE O', 'BAG O', 'YESTERDAY S-DATE', '. O']"
"MR. FUNG, YOU ARE ORDERED TO RETURN TOMORROW MORNING AT 9:00 O'CLOCK.",150034,['1'],"['O', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O']",1,"['MR O', '. O', 'FUNG S-PERSON', ', O', 'YOU O', 'ARE O', 'ORDERED O', 'TO O', 'RETURN O', 'TOMORROW S-DATE', 'MORNING O', 'AT O', '9:00 O', ""O'CLOCK O"", '. O']"
MR. DARDEN: July 28 was it?,393167,['1'],"['O', 'O', 'S-PERSON', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O']",1,"['MR O', '. O', 'DARDEN S-PERSON', ': O', 'July B-DATE', '28 E-DATE', 'was O', 'it O', '? O']"
May this be marked as 367-G?,251787,['0'],"['O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['May O', 'this O', 'be O', 'marked O', 'as O', '367-G O', '? O']"
"AND THEN IT WAS WHAT, JULY 29 THAT YOU FIRST SPOKE TO MR. BILL?",78468,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'S-PERSON', 'O', 'O', 'O']",1,"['AND O', 'THEN O', 'IT O', 'WAS O', 'WHAT O', ', O', 'JULY B-DATE', '29 E-DATE', 'THAT O', 'YOU O', 'FIRST O', 'SPOKE O', 'TO O', 'MR S-PERSON', '. O', 'BILL O', '? O']"
"There was approximately a--one centimeter--laceration that was just proximal to his distal interphalangeal joint right here on the left third finger, (Indicating), and it had a angulated or beveled approach that seemed to come more from this direction, (Indicating), and it also had some amount of a shaggy border to it.",314863,['0'],"['O', 'O', 'O', 'O', 'O', 'B-QUANTITY', 'E-QUANTITY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['There O', 'was O', 'approximately O', 'a O', '-- O', 'one B-QUANTITY', 'centimeter E-QUANTITY', '-- O', 'laceration O', 'that O', 'was O', 'just O', 'proximal O', 'to O', 'his O', 'distal O', 'interphalangeal O', 'joint O', 'right O', 'here O', 'on O', 'the O', 'left O', 'third S-ORDINAL', 'finger O', ', O', '( O', 'Indicating O', ') O', ', O', 'and O', 'it O', 'had O', 'a O', 'angulated O', 'or O', 'beveled O', 'approach O', 'that O', 'seemed O', 'to O', 'come O', 'more O', 'from O', 'this O', 'direction O', ', O', '( O', 'Indicating O', ') O', ', O', 'and O', 'it O', 'also O', 'had O', 'some O', 'amount O', 'of O', 'a O', 'shaggy O', 'border O', 'to O', 'it O', '. O']"
"While we are waiting to put that up, can you go through the six common phenotypes and just explain to us--well, first of all, I know you have already described this, but a phenotype is what again?",163461,['0'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['While O', 'we O', 'are O', 'waiting O', 'to O', 'put O', 'that O', 'up O', ', O', 'can O', 'you O', 'go O', 'through O', 'the O', 'six S-CARDINAL', 'common O', 'phenotypes O', 'and O', 'just O', 'explain O', 'to O', 'us O', '-- O', 'well O', ', O', 'first S-ORDINAL', 'of O', 'all O', ', O', 'I O', 'know O', 'you O', 'have O', 'already O', 'described O', 'this O', ', O', 'but O', 'a O', 'phenotype O', 'is O', 'what O', 'again O', '? O']"
"MR. HARMON: And now that we've had a chance to review them over the weekend, I would like to point out the irrelevance of the mock vaginal swabs.",221736,['1'],"['S-PERSON', 'O', 'S-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,"['MR S-PERSON', '. O', 'HARMON S-PERSON', ': O', 'And O', 'now O', 'that O', 'we O', ""'ve O"", 'had O', 'a O', 'chance O', 'to O', 'review O', 'them O', 'over O', 'the B-DATE', 'weekend E-DATE', ', O', 'I O', 'would O', 'like O', 'to O', 'point O', 'out O', 'the O', 'irrelevance O', 'of O', 'the O', 'mock O', 'vaginal O', 'swabs O', '. O']"
"MR. SIMS: Well, I think you and I were meeting about once a week since around the start of the new year.",196546,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O']",1,"['MR O', '. O', 'SIMS O', ': O', 'Well O', ', O', 'I O', 'think O', 'you O', 'and O', 'I O', 'were O', 'meeting O', 'about B-DATE', 'once I-DATE', 'a I-DATE', 'week E-DATE', 'since B-DATE', 'around I-DATE', 'the I-DATE', 'start I-DATE', 'of I-DATE', 'the I-DATE', 'new I-DATE', 'year E-DATE', '. O']"
WE ONLY KNEW OF HIS EXISTENCE IN THE LAST FEW DAYS.,133529,['1'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O']",1,"['WE O', 'ONLY O', 'KNEW O', 'OF O', 'HIS O', 'EXISTENCE O', 'IN O', 'THE B-DATE', 'LAST I-DATE', 'FEW I-DATE', 'DAYS E-DATE', '. O']"
