Sentences,Date,Trans_Ind,GL_Simpson_Dates_Ind,SU_TME_Update_ALL,HEIDEL_TME_Update,GL_ISO_DATES_CONVERSION,GL_ISO_DATES_SENT_CONVERSION,Anchor_Date,Anchor_Type,Tags_Clean,GL_TAGS_DATES_CORRECTED,date_binary,Has_Date,Has_DTE_GL,Has_DTE_CTN_GL,Has_DTE_REL_GL,Has_DTE_DUR,Has_DTE_UNCERTN,Has_DTE_CREF,Has_DTE_SET,Has_DTE_OTHER,Has_Age,GL_NER_Test,GL_Date_Norm_Test,Official_Test_NER,Test_NER_Unused,GL_NER
"MR. SCHECK: You were telling us about your conversations with the Prosecutors, and they asked you whether it was normal to see an unsealed envelope containing a blood vial, you gave them an answer that it wasn't, and then you were about to say something else.",5/30/1995,224401,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. YAMAUCHI: Occasionally, we work on evidence items that have not yet been booked.",5/30/1995,224402,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"And so for that reason, it's not completely out of the ordinary.",5/30/1995,224403,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Is it your understanding of procedures concerning the taking of blood from a suspect that after the nurse draws the blood from the suspect and hands the vial to the requesting officer, that the envelope is then supposed to be sealed?",5/30/1995,224404,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. HARMON: Objection.,5/30/1995,224405,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"No foundation, calls for speculation.",5/30/1995,224406,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: Sustained.,5/30/1995,224407,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Do you--have you examined the envelopes that contain the blood vials?,5/30/1995,224408,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. YAMAUCHI: Well, obviously I looked at this one.",5/30/1995,224409,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Okay.,5/30/1995,224410,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Your Honor, first I would like to put on the elmo People's 163-H, which is three envelopes, and I'll start with the gray one.",5/30/1995,224411,,,,,,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,['0'],1.0,0,,,,,,,,,1,0,1,0,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
THE COURT: Yes.,5/30/1995,224412,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
(Brief pause.),5/30/1995,224413,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Does that appear to be the analyzed evidence envelopes that you ordinarily receive after blood is drawn from a suspect?,5/30/1995,224414,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Yeah.,5/30/1995,224415,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
It looks like it.,5/30/1995,224416,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: All right.,5/30/1995,224417,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Now I would ask that we focus in on the middle there.,5/30/1995,224418,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
(Brief pause.),5/30/1995,224419,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Now, with respect to the instructions, can you read here--you've read, ""Officer requesting withdrawal of blood shall.""",5/30/1995,224420,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
You see that?,5/30/1995,224421,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Yes.,5/30/1995,224422,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: ""1, enter the date and subject's full name on the label of the vial from this envelope and give the vial to the person withdrawing the blood.""",5/30/1995,224423,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. YAMAUCHI: Yes, I can read that.",5/30/1995,224424,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: ""2, instruct the person withdrawing the blood to; A, use no alcohol or other viable organic disinfectant on the subject's arm; B, completely fill vial in your presence; then C, initial the vial label; and D, complete the affidavit, the below affidavit.""",5/30/1995,224425,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Am I reading correctly?,5/30/1995,224426,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Yes.,5/30/1995,224427,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: ""3, when the vial is returned to you, enter your initials on the label and shake the vial vigorously.""",5/30/1995,224428,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Yes.,5/30/1995,224429,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: ""4, when the affidavit is completed, sign below--sign below it as a witnessing officer and seal the vial in this envelope using completed sealing evidence labels.""",5/30/1995,224430,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Yes.,5/30/1995,224431,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: All right.,5/30/1995,224432,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Now, could we--could we circle the word ""Seal"" and print this out?",5/30/1995,224433,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"THE COURT: Well, the jury will have it.",5/30/1995,224434,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Well, go ahead.",5/30/1995,224435,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Or do you want to put a check mark by no.,5/30/1995,224436,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
4 so you don't obscure all the small words?,5/30/1995,224437,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Thank you.,5/30/1995,224438,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: Unless you have a highlighting function.,5/30/1995,224439,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: I think if he moves over to the very, very bottom, he can just underline ""Seal.""",5/30/1995,224440,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
No.,5/30/1995,224441,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Actually in the line--and also in the line above where it says ""And seal the vial in this envelope.""",5/30/1995,224442,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Okay.,5/30/1995,224443,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Thank you.,5/30/1995,224444,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Now, ""Sealed evidence labels"" refers to what?",5/30/1995,224445,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. YAMAUCHI: I would take it that that refers to the seals that we use to seal our envelopes, although you're questioning me in an area that's not my responsibility, and--and I have no part in that.",5/30/1995,224446,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Mr. Yamauchi--I understand.,5/30/1995,224447,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. HARMON: Well, I'd like--I move to strike his last answer and maybe we can move on then, your Honor.",5/30/1995,224448,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: Overruled.,5/30/1995,224449,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: I'm just asking you for a definition based on your knowledge of LAPD procedures.,5/30/1995,224450,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"""Sealed evidence labels,"" that refers to those red or yellow labels that we have seen on evidence items?",5/30/1995,224451,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: That's what I would take it to refer to.,5/30/1995,224452,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Okay.,5/30/1995,224453,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Now-- MR. SCHECK: Your Honor, I would now like to display People's 183.",5/30/1995,224454,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: All right.,5/30/1995,224455,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Let's clear the-- MR. SCHECK: I think that's upside down.,5/30/1995,224456,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: That's upside down.,5/30/1995,224457,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Now, let's move in on the bottom half from ""Officer requesting withdrawal"" down.",5/30/1995,224458,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Now, do you recognize this to be a picture of the envelope that contained Mr. Simpson's blood vial?",5/30/1995,224459,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. YAMAUCHI: It's kind of hard to read, but I recognize the name of the nurse that corresponds to the vial of blood and my notes.",5/30/1995,224460,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: And can you see now that this box we're focusing in on now refers to the affidavit of the person withdrawing blood?,5/30/1995,224461,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. YAMAUCHI: I can read that affidavit, ""A person withdrawing blood.""",5/30/1995,224462,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: And it indicates that Thano Peratis, the nurse, gave the blood vial to Detective Vannatter?",5/30/1995,224463,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. HARMON: Your Honor, I'm going to object.",5/30/1995,224464,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
This is hearsay at this point.,5/30/1995,224465,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: Sustained.,5/30/1995,224466,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. HARMON: Also beyond the scope.,5/30/1995,224467,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: Sustained.,5/30/1995,224468,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Isn't it your normal experience, Mr. Yamauchi, that after a police officer gets a vial of blood from the Parker Center from the nurse and delivers it to you in one of these envelopes, that it is sealed in accordance with the instructions on the envelope?",5/30/1995,224469,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Isn't that what you normally see?,5/30/1995,224470,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. HARMON: Objection.,5/30/1995,224471,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"That's two questions, your Honor.",5/30/1995,224472,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
It's compound.,5/30/1995,224473,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: Sustained.,5/30/1995,224474,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Isn't it--I have to ask it again.,5/30/1995,224475,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Would you mean not pointing at me like that?,5/30/1995,224476,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: I was pointing--I'm sorry, Mr. Yamauchi.",5/30/1995,224477,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
I was actually pointing at the screen.,5/30/1995,224478,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
I wasn't pointing at you.,5/30/1995,224479,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Okay.,5/30/1995,224480,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Thank you.,5/30/1995,224481,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: My apologies.,5/30/1995,224482,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
I'm pointing at the document.,5/30/1995,224483,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: All right.,5/30/1995,224484,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Isn't it the normal practice--withdrawn.,5/30/1995,224485,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Isn't it your normal experience that evidence envelopes containing blood vials from suspects that have been drawn at the Parker Center and hand delivered to police officers and then brought to you are sealed in accordance with the instructions on the envelope?,5/30/1995,224486,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. YAMAUCHI: Well, like I was stating before, usually we're getting these items out of our evidence--our ECU, that's our evidence control unit.",5/30/1995,224487,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"It is kind of rare that we receive them in this fashion, but evidence is received before it's booked.",5/30/1995,224488,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
It happens sometimes.,5/30/1995,224489,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Your Honor, the printout I'd like to have marked as Defendant's 188.",5/30/1995,224490,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: 1188 I believe.,5/30/1995,224491,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: 1188.,5/30/1995,224492,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
I'm sorry.,5/30/1995,224493,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
(Deft's 1188 for id = printout) MR. SCHECK: May I approach the witness?,5/30/1995,224494,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Section 4 of your DNA protocol is the one concerning evidence handling?,5/30/1995,224495,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Yes.,5/30/1995,224496,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: And does it not indicate that the only evidence items that will be processed on a walk-in basis will be those items that are received from a detective/officer that has completed the proper transfer of items into the evidence control unit, ECU?",5/30/1995,224497,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: That's what it reads there.,5/30/1995,224498,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: And if something goes through the--such as a blood vial were to go through the ECU, it would be sealed in addition at the ECU?",5/30/1995,224499,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Yes.,5/30/1995,224500,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
If it goes through the normal procedure.,5/30/1995,224501,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Keep in mind also that it does state at the beginning of that protocol and procedure manual that these are guidelines and not meant to be taken step by step and that--as we know, this type of business requires different situations and different ways to respond to the situations.",5/30/1995,224502,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
And this was a special situation.,5/30/1995,224503,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"So I would say it's slightly out of the norm, but it's okay.",5/30/1995,224504,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Well, is it okay for a detective to receive a blood vial at 2:30 in an envelope that's unsealed, take it up to his office, have coffee and drive it out to the scene-- MR. HARMON: Objection, your Honor.",5/30/1995,224505,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
It's argumentative.,5/30/1995,224506,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: Sustained.,5/30/1995,224507,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Beyond the scope of this witness' testimony as well.,5/30/1995,224508,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Now, you were asked on direct examination about removing blood from Mr. Simpson's blood vial on June 25th.",5/30/1995,224509,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Do you recall that?,5/30/1995,224510,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Yes.,5/30/1995,224511,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Now, have you reviewed the records in the serology item description notes and the serology case summary sheets that refer to the withdrawal of blood from Mr. Simpson's blood vial for purposes of conventional serology testing?",5/30/1995,224512,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: I think I'm referring to that right now.,5/30/1995,224513,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
I believe we're referring to the same note page.,5/30/1995,224514,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: All right.,5/30/1995,224515,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Are your note pages marked by l numbers?,5/30/1995,224516,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: No.,5/30/1995,224517,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Mine don't have l numbers on all of them.,5/30/1995,224518,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Is this it?,5/30/1995,224519,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. YAMAUCHI: Yeah, it looks like it.",5/30/1995,224520,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: And this one that's--okay.,5/30/1995,224521,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
All right.,5/30/1995,224522,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Your Honor, may I have these two pages marked as Defendant's-- THE COURT: 1189.",5/30/1995,224523,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: All right.,5/30/1995,224524,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Maybe we ought to--1189-A will be the serology item description notes and 1189-B will be the serology case summary sheet.,5/30/1995,224525,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"(Deft's 1189-A for id = notes) (Deft's 1189-B for id = summary sheet) MR. SCHECK: Are you with me, Mr. Yamauchi?",5/30/1995,224526,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Yes.,5/30/1995,224527,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Okay.,5/30/1995,224528,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Now, the serology case summary sheets indicates--reflects conventional serology testing performed by you and Greg Matheson between June 24th and June 28th or let me put it--let me withdraw that.",5/30/1995,224529,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
You were requested to do it on June 24th.,5/30/1995,224530,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
You started the conventional serology analysis on June 25th and it was completed on June 28th.,5/30/1995,224531,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Please refer to the sheet if that would refresh your recollection.,5/30/1995,224532,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Yes.,5/30/1995,224533,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: And this represents one conventional serology run done together by you and Mr. Matheson?,5/30/1995,224534,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Yes.,5/30/1995,224535,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: And to perform these conventional serology tests, what do you do with respect to the blood from the suspect; in this case, Mr. Simpson?",5/30/1995,224536,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Could you be more specific?,5/30/1995,224537,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Sure.,5/30/1995,224538,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Is the actual way that you perform this test, to wet some threads in drops of blood and then use that for purposes of the electrophoresis that goes on in conventional serology?",5/30/1995,224539,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. YAMAUCHI: Well, generally speaking, that's--that sounds about right.",5/30/1995,224540,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: Is that how it was done in this instance?,5/30/1995,224541,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
And I'm referring here to 1189-B.,5/30/1995,224542,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. YAMAUCHI: Well, when I did the reference bloods, I--I did pretty much in that fashion what you just described.",5/30/1995,224543,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: All right.,5/30/1995,224544,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"And to your knowledge, did Mr. Matheson do a duplicate test on this or did you both just do one test?",5/30/1995,224545,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. HARMON: Objection.,5/30/1995,224546,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Calls for speculation.,5/30/1995,224547,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: Overruled.,5/30/1995,224548,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. YAMAUCHI: Well, he--he did all the ABO and duplicated anything I might have done.",5/30/1995,224549,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
I did the screening of the bloods.,5/30/1995,224550,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"When the evidence came in line, he did the samples and I loaded them on the gel and ran the gel.",5/30/1995,224551,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: So how many threads were created as reflected in 1189-B for the conventional serology tests between both yourself and Mr. Matheson from Mr. Simpson's blood vial?,5/30/1995,224552,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: I'm not sure because I wouldn't have created them all--you mean just the ones that I would have made?,5/30/1995,224553,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. SCHECK: Well, looking at the test results, how many threads would have to be created to generate the results that are reflected on 1189-B?",5/30/1995,224554,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: At least two I'd say.,5/30/1995,224555,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: All right.,5/30/1995,224556,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
And so you did one and Mr. Matheson did one?,5/30/1995,224557,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: No.,5/30/1995,224558,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
I--I would have done two.,5/30/1995,224559,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
There's--wait.,5/30/1995,224560,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"One, two--I would have used--excuse me--at least three for doing that analysis.",5/30/1995,224561,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: And how many threads would Mr. Matheson need to do his analysis if any additional were needed?,5/30/1995,224562,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: Let's see.,5/30/1995,224563,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
At least one more.,5/30/1995,224564,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. SCHECK: All right.,5/30/1995,224565,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Now, you don't need three-quarters of a milliliter of blood to make four threads, do you?",5/30/1995,224566,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. YAMAUCHI: No.,5/30/1995,224567,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
