Unnamed: 0,Sentences,Creation_Date,Date
224406,"No foundation, calls for speculation.",,
224407,THE COURT: Sustained.,,
224408,MR. SCHECK: Do you--have you examined the envelopes that contain the blood vials?,,
224409,"MR. YAMAUCHI: Well, obviously I looked at this one.",,
224410,MR. SCHECK: Okay.,,
224411,"Your Honor, first I would like to put on the elmo People's 163-H, which is three envelopes, and I'll start with the gray one.",,
224412,THE COURT: Yes.,,
224413,(Brief pause.),,
224414,MR. SCHECK: Does that appear to be the analyzed evidence envelopes that you ordinarily receive after blood is drawn from a suspect?,,
224415,MR. YAMAUCHI: Yeah.,,
224416,It looks like it.,,
224417,MR. SCHECK: All right.,,
224418,Now I would ask that we focus in on the middle there.,,
224419,(Brief pause.),,
224420,"MR. SCHECK: Now, with respect to the instructions, can you read here--you've read, ""Officer requesting withdrawal of blood shall.""",,
224421,You see that?,,
224422,MR. YAMAUCHI: Yes.,,
224423,"MR. SCHECK: ""1, enter the date and subject's full name on the label of the vial from this envelope and give the vial to the person withdrawing the blood.""",,
224424,"MR. YAMAUCHI: Yes, I can read that.",,
224425,"MR. SCHECK: ""2, instruct the person withdrawing the blood to; A, use no alcohol or other viable organic disinfectant on the subject's arm; B, completely fill vial in your presence; then C, initial the vial label; and D, complete the affidavit, the below affidavit.""",,
224426,Am I reading correctly?,,
224427,MR. YAMAUCHI: Yes.,,
224428,"MR. SCHECK: ""3, when the vial is returned to you, enter your initials on the label and shake the vial vigorously.""",,
224429,MR. YAMAUCHI: Yes.,,
224430,"MR. SCHECK: ""4, when the affidavit is completed, sign below--sign below it as a witnessing officer and seal the vial in this envelope using completed sealing evidence labels.""",,
224431,MR. YAMAUCHI: Yes.,,
224432,MR. SCHECK: All right.,,
224433,"Now, could we--could we circle the word ""Seal"" and print this out?",,
224434,"THE COURT: Well, the jury will have it.",,
224435,"Well, go ahead.",,
224436,Or do you want to put a check mark by no.,,
224437,4 so you don't obscure all the small words?,,
224438,MR. SCHECK: Thank you.,,
224439,THE COURT: Unless you have a highlighting function.,,
224440,"MR. SCHECK: I think if he moves over to the very, very bottom, he can just underline ""Seal.""",,
224441,No.,,
224442,"Actually in the line--and also in the line above where it says ""And seal the vial in this envelope.""",,
224443,Okay.,,
224444,Thank you.,,
224445,"MR. SCHECK: Now, ""Sealed evidence labels"" refers to what?",,
224446,"MR. YAMAUCHI: I would take it that that refers to the seals that we use to seal our envelopes, although you're questioning me in an area that's not my responsibility, and--and I have no part in that.",,
224447,MR. SCHECK: Mr. Yamauchi--I understand.,,
224448,"MR. HARMON: Well, I'd like--I move to strike his last answer and maybe we can move on then, your Honor.",,
224449,THE COURT: Overruled.,,
224450,MR. SCHECK: I'm just asking you for a definition based on your knowledge of LAPD procedures.,,
224451,"""Sealed evidence labels,"" that refers to those red or yellow labels that we have seen on evidence items?",,
224452,MR. YAMAUCHI: That's what I would take it to refer to.,,
224453,MR. SCHECK: Okay.,,
224454,"Now-- MR. SCHECK: Your Honor, I would now like to display People's 183.",,
224455,THE COURT: All right.,,
224456,Let's clear the-- MR. SCHECK: I think that's upside down.,,
224457,THE COURT: That's upside down.,,
224458,"MR. SCHECK: Now, let's move in on the bottom half from ""Officer requesting withdrawal"" down.",,
224459,"MR. SCHECK: Now, do you recognize this to be a picture of the envelope that contained Mr. Simpson's blood vial?",,
224460,"MR. YAMAUCHI: It's kind of hard to read, but I recognize the name of the nurse that corresponds to the vial of blood and my notes.",,
224461,MR. SCHECK: And can you see now that this box we're focusing in on now refers to the affidavit of the person withdrawing blood?,,
224462,"MR. YAMAUCHI: I can read that affidavit, ""A person withdrawing blood.""",,
224463,"MR. SCHECK: And it indicates that Thano Peratis, the nurse, gave the blood vial to Detective Vannatter?",,
224464,"MR. HARMON: Your Honor, I'm going to object.",,
224465,This is hearsay at this point.,,
224466,THE COURT: Sustained.,,
224467,MR. HARMON: Also beyond the scope.,,
224468,THE COURT: Sustained.,,
224469,"MR. SCHECK: Isn't it your normal experience, Mr. Yamauchi, that after a police officer gets a vial of blood from the Parker Center from the nurse and delivers it to you in one of these envelopes, that it is sealed in accordance with the instructions on the envelope?",,
224470,Isn't that what you normally see?,,
224471,MR. HARMON: Objection.,,
224472,"That's two questions, your Honor.",,
224473,It's compound.,,
224474,THE COURT: Sustained.,,
224475,MR. SCHECK: Isn't it--I have to ask it again.,,
224476,MR. YAMAUCHI: Would you mean not pointing at me like that?,,
224477,"MR. SCHECK: I was pointing--I'm sorry, Mr. Yamauchi.",,
224478,I was actually pointing at the screen.,,
224479,I wasn't pointing at you.,,
224480,MR. YAMAUCHI: Okay.,,
224481,Thank you.,,
224482,MR. SCHECK: My apologies.,,
224483,I'm pointing at the document.,,
224484,MR. YAMAUCHI: All right.,,
224485,MR. SCHECK: Isn't it the normal practice--withdrawn.,,
224486,Isn't it your normal experience that evidence envelopes containing blood vials from suspects that have been drawn at the Parker Center and hand delivered to police officers and then brought to you are sealed in accordance with the instructions on the envelope?,,
224487,"MR. YAMAUCHI: Well, like I was stating before, usually we're getting these items out of our evidence--our ECU, that's our evidence control unit.",,
224488,"It is kind of rare that we receive them in this fashion, but evidence is received before it's booked.",,
224489,It happens sometimes.,,
224490,"MR. SCHECK: Your Honor, the printout I'd like to have marked as Defendant's 188.",,
224491,THE COURT: 1188 I believe.,,
224492,MR. SCHECK: 1188.,,
224493,I'm sorry.,,
224494,(Deft's 1188 for id = printout) MR. SCHECK: May I approach the witness?,,
224495,MR. SCHECK: Section 4 of your DNA protocol is the one concerning evidence handling?,,
224496,MR. YAMAUCHI: Yes.,,
224497,"MR. SCHECK: And does it not indicate that the only evidence items that will be processed on a walk-in basis will be those items that are received from a detective/officer that has completed the proper transfer of items into the evidence control unit, ECU?",,
224498,MR. YAMAUCHI: That's what it reads there.,,
224499,"MR. SCHECK: And if something goes through the--such as a blood vial were to go through the ECU, it would be sealed in addition at the ECU?",,
224500,MR. YAMAUCHI: Yes.,,
224501,If it goes through the normal procedure.,,
224502,"Keep in mind also that it does state at the beginning of that protocol and procedure manual that these are guidelines and not meant to be taken step by step and that--as we know, this type of business requires different situations and different ways to respond to the situations.",,
224503,And this was a special situation.,,
224504,"So I would say it's slightly out of the norm, but it's okay.",,
224505,"MR. SCHECK: Well, is it okay for a detective to receive a blood vial at 2:30 in an envelope that's unsealed, take it up to his office, have coffee and drive it out to the scene-- MR. HARMON: Objection, your Honor.",,
224506,It's argumentative.,,
224507,THE COURT: Sustained.,,
224508,Beyond the scope of this witness' testimony as well.,,
224509,"MR. SCHECK: Now, you were asked on direct examination about removing blood from Mr. Simpson's blood vial on June 25th.",,
224510,Do you recall that?,,
224511,MR. YAMAUCHI: Yes.,,
224512,"MR. SCHECK: Now, have you reviewed the records in the serology item description notes and the serology case summary sheets that refer to the withdrawal of blood from Mr. Simpson's blood vial for purposes of conventional serology testing?",,
224513,MR. YAMAUCHI: I think I'm referring to that right now.,,
224514,I believe we're referring to the same note page.,,
224515,MR. SCHECK: All right.,,
224516,Are your note pages marked by l numbers?,,
224517,MR. YAMAUCHI: No.,,
224518,Mine don't have l numbers on all of them.,,
224519,MR. SCHECK: Is this it?,,
224520,"MR. YAMAUCHI: Yeah, it looks like it.",,
224521,MR. SCHECK: And this one that's--okay.,,
224522,All right.,,
224523,"MR. SCHECK: Your Honor, may I have these two pages marked as Defendant's-- THE COURT: 1189.",,
224524,MR. SCHECK: All right.,,
224525,Maybe we ought to--1189-A will be the serology item description notes and 1189-B will be the serology case summary sheet.,,
224526,"(Deft's 1189-A for id = notes) (Deft's 1189-B for id = summary sheet) MR. SCHECK: Are you with me, Mr. Yamauchi?",,
224527,MR. YAMAUCHI: Yes.,,
224528,MR. SCHECK: Okay.,,
224529,"Now, the serology case summary sheets indicates--reflects conventional serology testing performed by you and Greg Matheson between June 24th and June 28th or let me put it--let me withdraw that.",,
224530,You were requested to do it on June 24th.,,
224531,You started the conventional serology analysis on June 25th and it was completed on June 28th.,,
224532,Please refer to the sheet if that would refresh your recollection.,,
224533,MR. YAMAUCHI: Yes.,,
224534,MR. SCHECK: And this represents one conventional serology run done together by you and Mr. Matheson?,,
224535,MR. YAMAUCHI: Yes.,,
224536,"MR. SCHECK: And to perform these conventional serology tests, what do you do with respect to the blood from the suspect; in this case, Mr. Simpson?",,
224537,MR. YAMAUCHI: Could you be more specific?,,
224538,MR. SCHECK: Sure.,,
224539,"Is the actual way that you perform this test, to wet some threads in drops of blood and then use that for purposes of the electrophoresis that goes on in conventional serology?",,
224540,"MR. YAMAUCHI: Well, generally speaking, that's--that sounds about right.",,
224541,MR. SCHECK: Is that how it was done in this instance?,,
224542,And I'm referring here to 1189-B.,,
224543,"MR. YAMAUCHI: Well, when I did the reference bloods, I--I did pretty much in that fashion what you just described.",,
224544,MR. SCHECK: All right.,,
224545,"And to your knowledge, did Mr. Matheson do a duplicate test on this or did you both just do one test?",,
224546,MR. HARMON: Objection.,,
224547,Calls for speculation.,,
224548,THE COURT: Overruled.,,
224549,"MR. YAMAUCHI: Well, he--he did all the ABO and duplicated anything I might have done.",,
224550,I did the screening of the bloods.,,
224551,"When the evidence came in line, he did the samples and I loaded them on the gel and ran the gel.",,
224552,MR. SCHECK: So how many threads were created as reflected in 1189-B for the conventional serology tests between both yourself and Mr. Matheson from Mr. Simpson's blood vial?,,
224553,MR. YAMAUCHI: I'm not sure because I wouldn't have created them all--you mean just the ones that I would have made?,,
224554,"MR. SCHECK: Well, looking at the test results, how many threads would have to be created to generate the results that are reflected on 1189-B?",,
224555,MR. YAMAUCHI: At least two I'd say.,,
224556,MR. SCHECK: All right.,,
224557,And so you did one and Mr. Matheson did one?,,
224558,MR. YAMAUCHI: No.,,
224559,I--I would have done two.,,
224560,There's--wait.,,
224561,"One, two--I would have used--excuse me--at least three for doing that analysis.",,
224562,MR. SCHECK: And how many threads would Mr. Matheson need to do his analysis if any additional were needed?,,
224563,MR. YAMAUCHI: Let's see.,,
224564,At least one more.,,
224565,MR. SCHECK: All right.,,
224566,"Now, you don't need three-quarters of a milliliter of blood to make four threads, do you?",,
224567,MR. YAMAUCHI: No.,,
224568,"But when you're doing the forward and reverse typing for the ABO, you need a decent quantity because you want to get separation between the blood cells and the plasma.",,
224569,"So for that purpose, you need a little bit better volume.",,
224570,MR. SCHECK: You need as much as three-quarters of a mil?,,
224571,"MR. YAMAUCHI: That might be on the high side, but it's approximately.",,
224572,"MR. SCHECK: Now, do you recall that--you know a criminalist named Mark Taylor; do you not?",,
224573,MR. YAMAUCHI: Yes.,,
224574,"MR. SCHECK: And you recall that he visited your laboratory at piper tech on January 18th, 1995 with myself, Mr. Blasier, and an individual named Dr. John Gerdes?",,
224575,MR. YAMAUCHI: Yes.,,
224576,MR. SCHECK: And you recall that we took pictures that day of Mr. Simpson's blood vial?,,
224577,MR. YAMAUCHI: Yes.,,
224578,I recall that.,,
224579,MR. SCHECK: And you recall that Mr. Matheson was present at that meeting when we took pictures of the blood vial?,,
224580,MR. HARMON: Objection.,,
224581,Beyond the scope.,,
224582,THE COURT: Overruled.,,
224583,MR. YAMAUCHI: Yes.,,
224584,"MR. SCHECK: And at that meeting, did--was there not a review with you and Mr. Matheson with respect to each entry on the blood vial that reflected someone from LAPD entering into the blood vial and removing blood?",,
224585,MR. HARMON: Objection.,,
224586,"Calls for hearsay, speculation, beyond the scope.",,
224587,THE COURT: Overruled.,,
224588,MR. YAMAUCHI: They were discussing some things and pointing here and there at--I don't know for sure exactly what they were talking about.,,
224589,MR. SCHECK: You weren't part of that conversation?,,
224590,MR. HARMON: Objection.,,
224591,It's vague as to those conversations.,,
224592,THE COURT: Sustained.,,
224593,MR. SCHECK: You said there was conversation you didn't understand?,,
224594,MR. YAMAUCHI: Yes.,,
224595,"They were talking next to where mark had the camera set up, next to those hot lights.",,
224596,"MR. SCHECK: There's an entry on the blood vial on--for June 25th that Mr. Harmon asked you about on direct examination, right?",,
224597,"MR. YAMAUCHI: As to June 25th, 1994?",,
224598,MR. SCHECK: Yeah.,,
224599,MR. YAMAUCHI: Yes.,,
224600,MR. SCHECK: Your initials are on the vial as somebody that entered it and removed it?,,
224601,MR. YAMAUCHI: Okay.,,
224602,MR. SCHECK: Is that true?,,
224603,"MR. YAMAUCHI: Well, I would have to see that.",,
224604,"I--that's something I would do, but I mean, it sounds like you're making a statement of fact.",,
224605,"MR. SCHECK: Well, I'm asking.",,
224606,"Are there not--is there not a--on the blood vial itself, an indication that on June 25th you, as reflected by your initials, entered the vial to remove blood?",,
224607,MR. YAMAUCHI: That sounds like something I'd do.,,
224608,I'd have to see the vial to make sure.,,
224609,"MR. SCHECK: Well, Mr.--don't you recall Mr. Harmon asking you questions about that entry on direct examination?",,
224610,MR. YAMAUCHI: Whether I initialed it or not?,,
224611,MR. SCHECK: Whether you removed blood from the vial on June 25th.,,
224612,"MR. YAMAUCHI: Of course I remember him asking me that, but you were talking again about my initials and stuff like that on there and the date.",,
224613,"MR. SCHECK: When--do you recall Mr. Taylor, others in the room questioning you about how much you took out of the vial on June 25th when we visited the laboratory on January 18th?",,
224614,MR. HARMON: Objection.,,
224615,It's hearsay.,,
224616,THE COURT: Overruled.,,
224617,"MR. YAMAUCHI: I don't remember them specifically asking me, but if they did, I would have referred to my notes.",,
224618,MR. SCHECK: Do you have notes?,,
224619,MR. YAMAUCHI: Yes.,,
224620,MR. SCHECK: Of the meeting?,,
224621,"MR. YAMAUCHI: Of the meeting, no.",,
224622,Of my notes for the serology item description notes.,,
224623,"MR. SCHECK: Did you tell Mr. Taylor and the others in the room that you just took blood for threads, a drop or two, and you put back into the tube the blood that you didn't use?",,
224624,MR. YAMAUCHI: Now I know I wouldn't say that because I would never put blood back in the tube.,,
224625,MR. SCHECK: You didn't say that?,,
224626,MR. YAMAUCHI: Nope.,,
224627,"MR. SCHECK: Did you say that you only used a drop or two that would be, at the most, .05 milliliters?",,
224628,MR. YAMAUCHI: .05 milliliters.,,
224629,No.,,
224630,"MR. SCHECK: You did not say that about the amount of blood that you withdraw from the tube on June 25th, that you just took a drop or two constituting at most, .05 milliliters?",,
224631,"MR. YAMAUCHI: If they were asking me how much I took to make the threads, I might have said that.",,
224632,"But overall, I took more out because I had to do the ABO typing also.",,
224633,"MR. SCHECK: My question is, did you tell Mr. Taylor and others in the room that you took just .05 milliliters to make threads when you went into the vial on June 25th?",,
224634,"MR. YAMAUCHI: If the question was, did I make threads, how much did I take out to make the threads, yes.",,
224635,MR. SCHECK: Do you have as you sit here today an independent recollection of how much blood you took out of the vial on June 25th?,,
224636,"MR. YAMAUCHI: Looking back on my notes, I have approximately three-quarters of an ml.",,
224637,MR. SCHECK: All right.,,
224638,And there is nothing--you're looking now at the serology case summary sheet?,,
224639,MR. YAMAUCHI: Serology item description notes.,,
224640,MR. SCHECK: Right.,,
224641,"That's 1189-A, the one we were just talking--the one I just showed you?",,
224642,MR. YAMAUCHI: Was one or the other.,,
224643,"MR. SCHECK: And that note reflects one three-quarters of a milliliter being withdrawn, correct?",,
224644,MR. YAMAUCHI: Yes.,,
224645,MR. SCHECK: But there is no notation in any notes of Mr. Matheson taking three-quarters of a milliliter on June 27th?,,
224646,MR. HARMON: Objection.,,
224647,"That calls for speculation, hearsay.",,
224648,THE COURT: Sustained.,,
224649,Sustained.,,
224650,All right.,,
224651,"Mr. Scheck, we need to take a comfort break for the jurors.",,
224652,We'll take a five-minute comfort break.,,
224653,All right.,,
224654,"Any jurors that want to step into the jury room, feel free to do so.",,
224655,Don't go away.,,
224656,(Recess.),,
224657,(The following proceedings were held at the bench:) THE COURT: All right.,,
224658,We're over at the sidebar.,,
224659,"Mr. Harmon, what's up?",,
224660,"MR. HARMON: Before we forget, we want to start getting that discovery stuff.",,
224661,It's now obvious they have some material they intend to present.,,
224662,So we'd like to start receiving it this afternoon.,,
224663,"I'm sure they've got it right there, Gerdes, Taylor stuff.",,
224664,"If they don't have discovery, that was bad faith, and we need to clear the air on that.",,
224665,"So either turn it over this afternoon or sanction them for misleading the jury, having no good faith basis for asking those questions.",,
224666,So pick your swords.,,
224667,"MR. SCHECK: If the Court wants to see the document I was referring to, I'll show it to the Court.",,
224668,I don't believe it's a discovery item.,,
224669,"THE COURT: Now that you've started using it for impeachment purposes, now it's discoverable.",,
224670,So cough it up.,,
224671,"MR. SCHECK: But, your Honor, there's no report.",,
224672,"THE COURT: If there's no reports, these people aren't testifying then.",,
224673,"I'm giving you fair warning that if there aren't reports and you're using it to cross-examine, those witnesses are not testifying.",,
224674,Fair warning.,,
224675,Fair warning.,,
224676,Fair warning if there's no reports.,,
224677,Let's proceed.,,
224678,"MR. COCHRAN: Judge, can I say one thing?",,
224679,THE COURT: No.,,
224680,"No, Mr. Cochran.",,
224681,(The following proceedings were held in open court:) THE COURT: All right.,,
224682,Let the record reflect that we've got all of our jurors back.,,
224683,All right.,,
224684,Mr. Scheck.,,
224685,"MR. SCHECK: Mr. Yamauchi, do you have a problem with outbreaks of contamination at the LAPD laboratory?",,
224686,MR. HARMON: Objection.,,
224687,It's vague as to outbreaks.,,
224688,THE COURT: Sustained.,,
224689,"MR. SCHECK: Have you ever heard the phrase ""Outbreaks of contamination""?",,
224690,THE COURT: I take it we're referring to the serology PCR process?,,
224691,MR. SCHECK: We're referring to the DNA testing.,,
224692,MR. YAMAUCHI: I've heard it expressed in this case.,,
224693,"MR. SCHECK: Before this case, had you ever heard the phrase?",,
224694,"MR. YAMAUCHI: ""Outbreak,"" no.",,
224695,MR. SCHECK: Had you read it in any document?,,
224696,MR. YAMAUCHI: Wouldn't have come to recollection before this case.,,
224697,No.,,
224698,MR. SCHECK: Have you read the national research council report on DNA typing?,,
224699,"MR. YAMAUCHI: Yes, I have.",,
224700,MR. SCHECK: All right.,,
224701,Do you recall encountering the phrase in that report?,,
224702,MR. HARMON: Objection.,,
224703,"Hearsay, no foundation.",,
224704,THE COURT: Overruled.,,
224705,"MR. YAMAUCHI: Once again, because I saw it talked about in this case, I remember it from that.",,
224706,"But prior to that, it wouldn't come to my recollection.",,
224707,"MR. SCHECK: In the course of DNA typing at your laboratory from the moment you started through the time that you did testing in this case, have there been incidents where you as laboratory analysts discovered what you considered to be contamination problems?",,
224708,MR. YAMAUCHI: No.,,
224709,MR. SCHECK: Was there an incident involving lots or reagents concerning amplification run no.,,
224710,33 that caused you to consult with the manufacturer about the kits that you'd been given?,,
224711,MR. HARMON: Objection.,,
224712,It's vague.,,
224713,"""You"" is vague, your Honor.",,
224714,THE COURT: Sustained.,,
224715,Rephrase the question.,,
224716,MR. SCHECK: All right.,,
224717,"Was there an incident involving contamination which yourself, Erin Riley and others in your laboratory believed came from kits or reagents that you received from Roche?",,
224718,MR. HARMON: Objection.,,
224719,"Calls for speculation, no foundation.",,
224720,THE COURT: Rephrase the question.,,
224721,MR. SCHECK: Do you have any recollection of contamination occurring in your laboratory which you believed was caused by kits you received from Roche?,,
224722,MR. HARMON: Objection.,,
224723,"Calls for speculation, no foundation.",,
224724,THE COURT: Sustained.,,
224725,Rephrase the question.,,
224726,MR. SCHECK: Have you ever--withdrawn.,,
224727,Was there ever an incident of contamination in your laboratory which the people at the DNA unit believed came from the kits supplied by Roche?,,
224728,MR. HARMON: Objection.,,
224729,"Calls for speculation, no foundation.",,
224730,THE COURT: Sustained.,,
224731,Why don't you cut the question in half.,,
224732,MR. SCHECK: All right.,,
224733,Was there ever an incident in your laboratory involving contamination from kits?,,
224734,MR. HARMON: Objection.,,
224735,"Calls for speculation, hearsay, no foundation.",,
224736,THE COURT: Overruled.,,
224737,MR. YAMAUCHI: From kits specifically?,,
224738,"We--we couldn't prove that or it couldn't be isolated down to actually being there, but it was put into a category where something to do with the reagents at that end were giving an anomalous result.",,
224739,"MR. SCHECK: Well, could you explain for us what the problem was as far as you knew it to-- MR. HARMON: Objection.",,
224740,No foundation.,,
224741,Calls for speculation.,,
224742,THE COURT: Overruled.,,
224743,"MR. YAMAUCHI: Well, first of all, you're saying ""Problem,"" and it's not necessarily a problem.",,
224744,"What it is is, we have these controls like I was explaining before, and they're the indicators to us that something is a little bit different or out of the ordinary.",,
224745,"And that indicator, by looking at our controls, we were able to figure out that something anomalous was taking place, and we isolated it to a specific area.",,
224746,"As to whoever followed up on that and the responsibility of that, it was Mr. Matheson and Miss Riley.",,
224747,MR. SCHECK: And you had no part in that?,,
224748,"MR. YAMAUCHI: Well, my initial input.",,
224749,MR. SCHECK: The anomalous results that you were talking about were contamination appearing in the negative controls on certain items?,,
224750,"MR. YAMAUCHI: Well, the negative controls were showing activity, yes.",,
224751,MR. SCHECK: Positive controls?,,
224752,MR. YAMAUCHI: Positive controls were typing as they should.,,
224753,MR. SCHECK: And as a result of the contamination in the negative controls--you examined some of these strips yourself; did you not?,,
224754,MR. YAMAUCHI: Yes.,,
224755,MR. SCHECK: All right.,,
224756,And you tried to make a determination when you examined them as to whether or not there was contamination in the laboratory?,,
224757,"MR. YAMAUCHI: That--well, yes.",,
224758,"We would have to discover that, whether or not it's something to do with our handling process or some other area.",,
224759,There's ways of troubleshooting that.,,
224760,MR. SCHECK: Did you participate in that investigation as to the source of the contamination?,,
224761,"MR. YAMAUCHI: Initially to a small extent, and then Erin Riley handled the rest.",,
224762,MR. SCHECK: Were you informed about all the other steps that were taken to investigate the contamination?,,
224763,"MR. YAMAUCHI: Well, we discussed her train of thought and her rationale as to-- MR. SCHECK: I'm sorry.",,
224764,Are you finished?,,
224765,MR. YAMAUCHI: Yeah.,,
224766,As to what her conclusions were and so on and so forth.,,
224767,MR. SCHECK: What were the conclusions that were reached as a result of this investigation of the contamination?,,
224768,MR. HARMON: Objection.,,
224769,Hearsay.,,
224770,THE COURT: Sustained.,,
224771,MR. SCHECK: Were you--did you subsequently operate on the premise that this contamination incident that you've just described was limited to just a series of bad lots in kits that you received from Roche?,,
224772,MR. HARMON: Objection.,,
224773,"It's irrelevant, calls for speculation, hearsay.",,
224774,THE COURT: Overruled.,,
224775,"MR. YAMAUCHI: There was some correlation, yes.",,
224776,"MR. SCHECK: To your knowledge, did Roche--has anybody--did Roche indicate that any other laboratory had had problems with those kits?",,
224777,MR. HARMON: Objection.,,
224778,"That's hearsay, your Honor.",,
224779,THE COURT: Sustained.,,
224780,MR. SCHECK: The--could you describe for us what the validation samples are that you test on an--withdrawn.,,
224781,Do you test validation samples on an ongoing basis in your laboratory?,,
224782,"MR. YAMAUCHI: Validation samples, could you be more specific.",,
224783,MR. SCHECK: Do you on an on-going basis test known samples in your laboratory to see if you're getting correct results?,,
224784,"MR. YAMAUCHI: Yes, with each run.",,
224785,MR. SCHECK: You're now referring to the positive controls?,,
224786,MR. YAMAUCHI: The positive amplification control as well as blood standards.,,
224787,"MR. SCHECK: Beyond that, do you have a program in your laboratory where you take known blood samples, that is from people in the lab and others, and on an on-going basis, periodic basis, have analysts perform tests on those known standards?",,
224788,MR. YAMAUCHI: No.,,
224789,Nothing like that.,,
224790,But we do do the proficiency tests on a rather regular basis.,,
224791,"MR. SCHECK: As far--have you reviewed hybridization strips and validation studies and casework from your laboratory from 1993 forward, you personally?",,
224792,"MR. YAMAUCHI: From 1993 forward, I--I know my own stuff that I've worked on.",,
224793,MR. SCHECK: Have you reviewed other strips?,,
224794,"MR. YAMAUCHI: Sometimes I confirm other hybridization sheets, yes.",,
224795,MR. SCHECK: All right.,,
224796,"As far as you know, from all the sheets you've seen, do you have a contamination problem at the LAPD laboratory?",,
224797,"MR. YAMAUCHI: Not a problem, but we see contaminants showing up, and that was an instance where such an anomaly showed up.",,
224798,And it's not outside of the ordinary from any other lab.,,
224799,That's why we have these controls set up within these systems to indicate to us that there's something there or possibly not there.,,
224800,"MR. SCHECK: Now, you just said that it wasn't any different from problems with other labs.",,
224801,How much familiarity do you have with work of other laboratories with respect to issues of contamination?,,
224802,"MR. YAMAUCHI: Well, I've talked to Mark Taylor and the people at Roche.",,
224803,"That's why they have these controls set up within there, to indicate if anomalies occur where there's something to look at and consider.",,
224804,"MR. SCHECK: Your Honor, may we move now to the socks?",,
224805,"And what I would request is that we put out some paper, the witness put on some gloves and that we put the socks out pretty much in the same area that we had them before when we conducted the direct examination.",,
224806,THE COURT: All right.,,
224807,(Brief pause.),,
224808,"THE COURT: Do you have a board or something you want to use, Mr. Scheck?",,
224809,"And, Mrs. Robertson, do we have some paper?",,
224810,MR. SCHECK: Yes.,,
224811,Actually--may I suggest that we follow the same procedure we did before by putting-- THE COURT: All right.,,
224812,"MR. SCHECK: --- I guess the white paper on top of the cart, having the witness come down and remove the socks.",,
224813,"And I'll put up the sock board, Prosecution sock board.",,
224814,THE COURT: All right.,,
224815,What size are those?,,
224816,MR. YAMAUCHI: These are medium.,,
224817,THE COURT: Do we have any size large gloves?,,
224818,"Mr. Scheck, we have one minor problem here.",,
224819,We don't have the right size gloves.,,
224820,All right.,,
224821,Let's proceed to something else.,,
224822,MR. SCHECK: I have nothing else.,,
224823,This is the end.,,
224824,THE COURT: This is it?,,
224825,"My golly, let's find some gloves.",,
224826,MR. SCHECK: I knew that would persuade-- THE COURT: Deputy Magnera indicates they have some large ones available.,,
224827,He'll make a phone call.,,
224828,MR. SCHECK: I think I can proceed for just a moment then before we get that.,,
224829,"MR. SCHECK: Now, on June 14th, did you see the socks, item no.",,
224830,"13, that were recovered from Mr. Simpson's bedroom?",,
224831,MR. YAMAUCHI: No.,,
224832,"MR. SCHECK: To your knowledge, on June 14th or 15th or at any time prior to August 4th, was a photograph taken of the socks?",,
