Sentence,Data_Split,Case_Name,Transcript_Date,Case_Type,Transcript_Type,Silver_Flair_Date_Detected,Silver_Flair_Entities,Silver_BIOES_NER_Tags,Gold_BIOES_NER_Tags,Sentence_NER_Annotated,Annotator_Source,NER_Annotator_Source
"That amount of stock did not significantly vary in the amount of stock I've already discussed, so I didn't intend to discuss it again today.",TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'today', 'score': 0.978, 'start_pos': 134, 'end_pos': 139}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE']",,,,
" Professor Thel, did you analyze whether Dakota Plains was required to disclose Michael Reger's beneficial ownership of more than five percent of Dakota Plains' stock?",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, I did.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 What did you conclude?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" That it was  if it knew that he beneficially owned more than five percent, they were obligated to disclose that along with some other information.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 Where was Dakota Plains required to disclose that?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 It was required to disclose it in a couple of things.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"It was required to disclose it in the super 8-K, the form that it filed at the time of the reverse merger, and then it was  so long as Michael Reger beneficially owned more than five percent and they knew it, they were required to file it annually in the form 10-K annual report.",TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'annually', 'score': 0.944, 'start_pos': 239, 'end_pos': 247}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O']",,,,
 Those were filings with the United States Securities & Exchange Commission that you talked about yesterday?,TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'yesterday', 'score': 0.971, 'start_pos': 98, 'end_pos': 107}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE']",,,,
 Yes.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
Those were all filed with the SEC and publicly available.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 And why is it that Dakota Plains would have to disclose Michael Reger's beneficial ownership of the super 8-K?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 Why would Dakota Plains have to disclose Mike Reger's beneficial ownership in the 10-K?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Because the form 10-K, which the company is required to report every year, directly requires the information in regulation S-K item 403, which is that information about known five percent beneficial owners.",TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'every year', 'score': 0.936, 'start_pos': 64, 'end_pos': 74}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,,,
 Did you analyze whether Dakota Plains was required to disclose related-party transactions with Michael Reger?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, I did.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 What did you conclude?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 I concluded that it was in both the form 8-K and its annual form 10-Ks in the future.,TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'annual', 'score': 0.935, 'start_pos': 54, 'end_pos': 60}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O']",,,,
 Why would Dakota Plains have to disclose the related party transactions with Michael Reger in the super 8-K?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 The form 8-K  similar answer.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"Form 8-K requires that in a reverse merger like this the company disclose the information in SEC form 10  not form 10-K  form 10 requires disclosure of the information in item four zero  also requires disclosure of information in item 404 of regulation S-K, and therefore they would have had to disclose it.",TR,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 What's a related person?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Um, in item 404 describes a related person as a number of people.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"It could be directors, senior officers, anyone the company knows is a five percent shareholder, beneficial owner.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" So if Dakota Plains knew that Michael Reger owned more than five percent of its stock, it would have had to disclose all material transactions between Dakota Plains and Michael Reger for the prior fiscal year?",TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'the prior fiscal year', 'score': 0.831, 'start_pos': 187, 'end_pos': 208}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE']",,,,
" For the prior fiscal year, slightly  material transactions which are defined as among other things transactions involving more than $120,000.",TST,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'the prior fiscal year', 'score': 0.853, 'start_pos': 5, 'end_pos': 26}]","['O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","For xxxthe prior fiscal yearxxx, slightly material transactions which are defined as among other things transactions involving more than $120,000.",EJG,
 Does that include transactions in which Michael Reger had a direct or indirect interest?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, it did.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 That's correct.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Based on these rules, which transactions with Michael Reger would Dakota Plains have been required to disclose?",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Um, it would have been required to disclose any consulting agreements, it would have been required to disclose senior notes, it would have been required to disclose junior notes, it would have been required to disclose consolidated notes, all of which occurred within the prior fiscal year.",TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'the prior fiscal year', 'score': 0.854, 'start_pos': 269, 'end_pos': 290}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE']",,,,
 And why would Dakota Plains have to disclose the related party transactions with Michael Reger in the annual 10-K filings with the Securities & Exchange Commission?,TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'annual', 'score': 0.973, 'start_pos': 103, 'end_pos': 109}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,,,
" OK, I think here we're talking about 10-Ks after.",TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': '10-Ks', 'score': 0.815, 'start_pos': 38, 'end_pos': 43}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O']",,,,
" After, the year after?",TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'the year after', 'score': 0.841, 'start_pos': 8, 'end_pos': 22}]","['O', 'B-DATE', 'I-DATE', 'E-DATE']",,,,
 The reverse merger.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
Form 10-K itself requires disclosure of the information in item 404 of regulation S-K and that requires disclosure of related party transactions.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"Related party transactions include transactions involving more than $120,000 with people who the issuer knows are beneficial owners.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 OK.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"So assuming Dakota Plains knew that Michael Reger owned more than five percent of its stock, did you conclude that Dakota Plains should have disclosed any additional transactions other than those you've mentioned with Michael Reger on its annual form 10-Ks?",TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'annual', 'score': 0.988, 'start_pos': 239, 'end_pos': 245}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O']",,,,
 Yes.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" OK. Now, you gave a deposition in this case, is that right?",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, I did.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 Before testifying here today?,TST,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'today', 'score': 0.981, 'start_pos': 24, 'end_pos': 29}]","['O', 'O', 'O', 'S-DATE', 'O']","['O', 'O', 'O', 'S-DATE', 'O']",Before testifying here xxxtodayxxx?,EJG,
" Yes, I did.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" And during that, did you testify that Dakota Plains would have had to disclose these transactions even if they did not know that Michael Reger beneficially owned five percent of its stock, is that right?",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, I did, and I testified that they would have.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 Did you later correct that?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 Yes.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
I came to a conclusion that was wrong.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 OK. Why was that?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
How did that happen?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 There was a fair amount of discussion at the deposition about it.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"So after I went home and got a copy of the deposition and read it, I restudied the rules and came to that conclusion.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 OK. What is a promoter under the securities laws?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 A promoter is a person who takes the initiative to found or organize business for a company.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 Did you analyze whether Dakota Plains was required to disclose that Michael Reger was a promoter?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, I did.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 What did you conclude?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 That it was.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 What's the basis for your conclusion?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" The super 8-K, which was a document they filed in connection with the reverse merger, requires all the information in a  in connection with reverse merger requires all the information in a form 10.",TR,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
Form 10 requires the information in item 404 regulation S-K.,TR,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"Item 404 requires that in the case of filing a form 10, if the company has had a promoter, that is a person who initiated or helped initiate the foundation or organization of the company, that promoter's identity has to be disclosed, if that was in the past five years, and information about transactions between that promoter and the company.",TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'the past five years', 'score': 0.828, 'start_pos': 249, 'end_pos': 268}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,,,
" So if Michael Reger was a promoter, Dakota Plains would have had to disclose that fact and also any new transactions with Michael Reger in the previous five years?",TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'the previous five years', 'score': 0.826, 'start_pos': 140, 'end_pos': 163}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE']",,,,
 Material transactions.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 What transactions with Michael Reger would Dakota Plains have been required to disclose based upon the status of a promoter?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" They would have had to disclose the stock that he bought upon founding the company, which was less than five years before 2012, they would have had to disclose consulting agreements, they would have to disclose the senior notes, they would have had to disclose the senior notes, they would have had to disclose a consolidation.",TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'less than five years', 'score': 0.814, 'start_pos': 95, 'end_pos': 115}, {'text': '2012', 'score': 0.567, 'start_pos': 123, 'end_pos': 127}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'E-DATE', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,,,
" Are there any other rules regarding disclosures that, in your opinion, apply to this case?",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"Rule, I mean Securities & Exchange Commission rules under the securities laws of the United States?",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 Yes.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"I would say more broadly under the securities laws, there are a couple of broad principles that I think are important here.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" And the first, what does the first rule relate to?",TST,Gruber,6/7/2022,Civil,Trial,0.0,[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","And the first, what does the first rule relate to?",EJG,
 One of them is that statements have to be complete.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
We're always talking about material facts.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"So, for example, if I say  if I say I, Steve  that Steve's Pizza is run by each of the jurors, when and who are officers, but in fact I run and they do what I say.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
I have to further disclose that fact.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"Because the statement Steve's Pizza is run by XYZ, even if literally true, is misleading, if I omit the material fact that they do everything that I say.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"So statements have to be the whole truth, as does my testimony.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 What was the second rule?,TR,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" The second is also I, think, sort of a common sense idea in addition to completeness, update.",TR,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
"So if we say that our company Steve's Pizza owns 12 pizzerias that is material, and it is true today on June 7 when we say it, but tomorrow five of them burn down, we never made a false statement, but we have to disclose that.",TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'today', 'score': 0.975, 'start_pos': 95, 'end_pos': 100}, {'text': 'June 7', 'score': 0.686, 'start_pos': 104, 'end_pos': 110}, {'text': 'tomorrow', 'score': 0.926, 'start_pos': 131, 'end_pos': 139}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'B-DATE', 'E-DATE', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,,,
We have to update the changes or update when we learn we made a mistake about material facts.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 Do the securities laws require Dakota Plains not to make incomplete or misleading statements of material fact in its disclosures?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, they do.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 And did the securities laws require that Dakota Plains update its SEC disclosures that it later learned were misleading?,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
" Yes, with respect to material facts.",UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 So all the testimony that you've given here today is given to a reasonable degree of professional certainty based upon your background and experience?,TR,Gruber,6/7/2022,Civil,Trial,1.0,"[{'text': 'today', 'score': 0.783, 'start_pos': 45, 'end_pos': 50}]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,,,
 Yes.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 I don't permit that question.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
It's a meaningless question.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
It will be stricken from the record.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
I don't expect anyone to put that question ever again in my court.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
 OK.,UNLABELED,Gruber,6/7/2022,Civil,Trial,0.0,[],,,,,
