Sentences,Date,Trans_Ind,GL_Simpson_Dates_Ind,SU_TME_Update_ALL,HEIDEL_TME_Update,GL_ISO_DATES_CONVERSION,GL_ISO_DATES_SENT_CONVERSION,Anchor_Date,Anchor_Type,Tags_Clean,GL_TAGS_DATES_CORRECTED,date_binary,Has_Date,Has_DTE_GL,Has_DTE_CTN_GL,Has_DTE_REL_GL,Has_DTE_DUR,Has_DTE_UNCERTN,Has_DTE_CREF,Has_DTE_SET,Has_DTE_OTHER,Has_Age,GL_NER_Test,GL_Date_Norm_Test,Official_Test_NER,Test_NER_Unused,GL_NER
MS. CLARK: Could a scientist with the capabilities that you're aware of in Dr. Rieders' lab conduct the test outlined to you by counsel for a quantification of blood in any given sample?,7/25/1995,336572,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. BLASIER: Same objection.,7/25/1995,336573,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
THE COURT: Overruled.,7/25/1995,336574,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: Yes.,7/25/1995,336575,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: Now, if what you want to know is whether or not any EDTA that may be detected in a stain comes from preserved tube, a preservative EDTA tube or comes from natural blood that has low levels of EDTA, would it be important to quantify with precision the amount of EDTA that you would find?",7/25/1995,336576,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: Not in this particular case.,7/25/1995,336577,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
The studies that I did and the studies that were done at Quantico demonstrated very easily that you could determine between preserved blood and nonpreserved blood.,7/25/1995,336578,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
We're talking a factor of 100 to a thousand times as much EDTA in preserved blood.,7/25/1995,336579,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"And as I mentioned, we don't even know what the amount of EDTA is in human blood.",7/25/1995,336580,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"And as I mentioned also, we don't even know whether in fact EDTA was found in these particular samples.",7/25/1995,336581,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"The only thing I know for sure is, EDTA was present in the control blood samples that I made from the K67 and K68 blood samples.",7/25/1995,336582,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: Now, you were asked if you had determined whether or not the red top tube has some EDTA in it just by the virtue of the way it's manufactured.",7/25/1995,336583,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Do you recall that question?,7/25/1995,336584,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Yes, I do.",7/25/1995,336585,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: Would you be capable of testing the tube to determine that?,7/25/1995,336586,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Yes, I would.",7/25/1995,336587,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: Would Dr. Rieders be capable of testing the tube to determine that?,7/25/1995,336588,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Yes, he would.",7/25/1995,336589,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: With respect to--you were questioned about destroying data, the digital data.",7/25/1995,336590,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"First of all, what is counsel referring to with respect to the digital data?",7/25/1995,336591,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Well, in the mass spectrometer, it's a very complex instrument and you're acquiring a lot of data.",7/25/1995,336592,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"For all the points that you want, you're acquiring a lot of data that is really not relevant and it takes up a lot of computer space.",7/25/1995,336593,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"What you're doing is waiting for the peak to come out, but you're acquiring the data the whole time.",7/25/1995,336594,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"So each time you perform a scan on the instrument, you're saving that data.",7/25/1995,336595,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Each one and a half seconds, I'm storing a lot of data on the computer.",7/25/1995,336596,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"I'm recording all the masses that I'm looking for and putting it on the computer so then I can retrieve after the run is over and look to determine whether something is present or not, and then I will print out that data that is relevant to the case.",7/25/1995,336597,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: And when you print out the data that's relevant to the case, are you referring to the graphs that have been--some of which have been shown?",7/25/1995,336598,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: Yes.,7/25/1995,336599,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: What does the digital data do in terms of helping you to interpret that graph?,7/25/1995,336600,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Well, the digital data allows me to select the appropriate scan or mass spectrum to print out.",7/25/1995,336601,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"The printout is what I interpret, which comes from the digital data.",7/25/1995,336602,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
But I make my interpretation based upon the chart that is printed out.,7/25/1995,336603,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: Now, if what someone wants is the digital data that backs up the graphs that you have generated, could you go back and test the evidence again and preserve that digital data?",7/25/1995,336604,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Yes, you could.",7/25/1995,336605,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: Has anyone asked you to do that?,7/25/1995,336606,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: No, they have not.",7/25/1995,336607,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: When Mr. Blasier visited you in Washington D.C., did he ask you to do that?",7/25/1995,336608,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: No, he did not.",7/25/1995,336609,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: And the graphs that you've presented here in court, are those an accurate depiction of the results of the testing that you performed?",7/25/1995,336610,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Yes, they are.",7/25/1995,336611,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: So the digital data simply tells you where to print out a graphs?,7/25/1995,336612,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Well, it has all the data that's been stored.",7/25/1995,336613,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Only some of that is relevant.,7/25/1995,336614,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"I will go through, take out the relevant data, print it out and put that with the case.",7/25/1995,336615,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: Okay.,7/25/1995,336616,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
And so what that--the relevant data being the graphs that we've seen here in court?,7/25/1995,336617,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: That's correct.,7/25/1995,336618,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: All right.,7/25/1995,336619,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"You're aware of Dr. Rieders' capability, sir.",7/25/1995,336620,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Could he test the blood of Nicole brown Simpson that is currently in evidence for EDTA?,7/25/1995,336621,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: I believe that he could.,7/25/1995,336622,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: To your knowledge, has he done so?",7/25/1995,336623,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: To my knowledge, he has not.",7/25/1995,336624,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: In fact, as far as you know and as far as you are aware, sir, Dr. Rieders has done nothing more than take your test results and give his own interpretation to them.",7/25/1995,336625,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Is that your understanding?,7/25/1995,336626,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: That's my understanding.,7/25/1995,336627,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: And he has performed no independent tests on any of the evidence in this case?,7/25/1995,336628,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: That's my understanding.,7/25/1995,336629,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: Sir, you were asked whether or not you had taken bloodstains recovered from metal and aged them for three weeks to determine whether or not you could still detect EDTA in them.",7/25/1995,336630,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Do you recall that question?,7/25/1995,336631,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: Yes I do.,7/25/1995,336632,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: If the hypothesis given to you is that there is an allegation that evidence has been planted at or near the time of collection and not aged for three weeks, would it be--would it have any relevance to age that bloodstain for three weeks before testing it for EDTA?",7/25/1995,336633,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: No.,7/25/1995,336634,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"I mean, if you're going to try to duplicate exactly what happened, you would want to do it the same time period.",7/25/1995,336635,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"As I mentioned earlier, I don't believe that either of those would be necessary in the case of EDTA: It is such a stable chemical.",7/25/1995,336636,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: And could you explain what you mean by that?,7/25/1995,336637,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Well, EDTA is used as a preservative.",7/25/1995,336638,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
It's used because it is a very stable chemical and it also helps to stabilize other chemicals.,7/25/1995,336639,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Its melting point or decomposes at about 300 degrees centigrade.,7/25/1995,336640,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
That's a very hot temperature.,7/25/1995,336641,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"I've seen no studies at all that EDTA will break down when it's in the dry form, and based on the studies that I've done on the blood, I can very easily identify EDTA in preserved blood that is several years old.",7/25/1995,336642,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: And how were you able to prove that, sir?",7/25/1995,336643,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Well, I took the bloodstains that we had in the laboratory that were on swatches since 1993 and I analyzed those, and I got similar results as I get from preserved blood that's preserved today or weeks ago.",7/25/1995,336644,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: You were talking about a validation study, sir.",7/25/1995,336645,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"First of all, let me ask you this.",7/25/1995,336646,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"The procedures and methods that you employ to detect--determine whether or not you could detect and then identify EDTA in any of the samples in this case, was that any new method that you never used before?",7/25/1995,336647,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: No.,7/25/1995,336648,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
I'm basically using the mass spectrometer which I've used in the laboratory since 1975.,7/25/1995,336649,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
That's--my opinion is based on the mass spectrum of the chemicals.,7/25/1995,336650,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: In the course of your work for the FBI, sir, over the past 20 years, how common is it for you to be asked to look for a certain chemical in A--in either blood or urine?",7/25/1995,336651,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: It's very common.,7/25/1995,336652,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: And so your being requested to ask to look for EDTA in this case, was that an unusual request in terms of being asked to look for a chemical in either blood or urine?",7/25/1995,336653,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: No.,7/25/1995,336654,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"I mean, we're a chemistry toxicology unit and we're routinely asked to identify not only a known chemical, but unknown chemicals.",7/25/1995,336655,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"A lot of times, we receive evidence that people don't know what the chemical is, and they want us to tell them what the chemical, drug or poison is.",7/25/1995,336656,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: So in a case like that where you're submitted a sample and they just say, ""Tell us what's in it,"" is that, in order of magnitude, harder or more difficult or easier than being told look for this particular compound?",7/25/1995,336657,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: It can be all of the above.,7/25/1995,336658,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"In a drug case, if you're given a white powder, a lot of times you will test to see if it's cocaine or heroin.",7/25/1995,336659,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"A lot of times, it may not be.",7/25/1995,336660,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"In cases we've had in the past where people have sold something purported to be cocaine, it may end up being boric acid, which is a poison.",7/25/1995,336661,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Cocaine is sometimes cut with boric acid.,7/25/1995,336662,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"So a lot of times, we may be looking for one thing and it may be another.",7/25/1995,336663,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"You really don't know what you're dealing with a lot of times, but we do have the capability in the laboratory to not only identify a chemical that we suspect, but unknown chemicals.",7/25/1995,336664,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: So have you been asked in the past to identify a chemical for the first time?,7/25/1995,336665,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: Yes.,7/25/1995,336666,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
On many occasions.,7/25/1995,336667,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: Is that--that's a routine thing?,7/25/1995,336668,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Pretty much in our unit of the laboratory, the chemistry toxicology, it's fairly routine to identify something that either somebody else can't identify, doesn't have the capability to identify or has never seen before.",7/25/1995,336669,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: In the course of your work for the FBI, sir, as unit chief, do you ever teach mass spectrometry?",7/25/1995,336670,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Yes, I do.",7/25/1995,336671,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"We have a facility out of Quantico, Virginia, and I've been teaching at Quantico probably since about 1980 different courses in mass spectrometry, primarily relating to some of the fields that we do in the unit, arson analysis, toxicology, general chemistry, chromatography classes, explosive classes, a variety of classes in which mass spectrometry is used.",7/25/1995,336672,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"And we actually had a course several years ago for the first time where we invited people to do mass spectrometry, and we had a one-week course just on mass spectrometry.",7/25/1995,336673,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: And who was it that you were teaching in that class?,7/25/1995,336674,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Generally peers, people from other laboratories that are doing forensic chemistry and toxicology.",7/25/1995,336675,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: Would that mean private--private labs such as those run by Dr. Rieders?,7/25/1995,336676,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Generally for our classes, they're generally government labs.",7/25/1995,336677,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"However, we do have symposiums.",7/25/1995,336678,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"We're having one coming in arson, and we're going to invite people not only from the government, but from private laboratories.",7/25/1995,336679,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: And in that regard, sir, you indicated that you're a member of currently only one of the forensic organizations noted by counsel.",7/25/1995,336680,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
I can't remember which one right now.,7/25/1995,336681,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: It was the Mid-Atlantic Association of Forensic Scientists.,7/25/1995,336682,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: Thank you.,7/25/1995,336683,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Now, in those organizations, sir, do people get together and exchange ideas, the new trends that are happening in toxicology?",7/25/1995,336684,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Yes, they do.",7/25/1995,336685,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: In the course of your job, sir, do you interact daily with people from around the country and in fact around the world concerning the latest trends in toxicology?",7/25/1995,336686,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: In both chemistry and toxicology, yes, I do.",7/25/1995,336687,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: Is it unusual for a local agency such as Los Angeles to request the assistance of the FBI, the toxicology unit, to assist in performing tests as you did in this case?",7/25/1995,336688,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: No, it is not.",7/25/1995,336689,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: Do you--is it a fairly routine thing for you to be requested by local agencies to perform testing in some regard?,7/25/1995,336690,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Yes, it is.",7/25/1995,336691,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: Now, you have--you indicated that you testified for the Defense on one occasion?",7/25/1995,336692,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Yes, I did.",7/25/1995,336693,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: What was that?,7/25/1995,336694,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
What was that experience?,7/25/1995,336695,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: It was a murder case in where two police officers were being accused of murder.,7/25/1995,336696,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
One of the people they were arresting was killed or died.,7/25/1995,336697,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: And what did you have to do in that case?,7/25/1995,336698,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: It was something that I do--I shouldn't say fairly routinely, but something else I've involved in is drug testing in hair.",7/25/1995,336699,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"In that particular case, I had done some drug testing in the victim's hair.",7/25/1995,336700,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: Sir, does it matter to you which side calls you in terms of whether or not you tell the truth?",7/25/1995,336701,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: No.,7/25/1995,336702,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
No.,7/25/1995,336703,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Not at all.,7/25/1995,336704,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: Your tests are your tests, your results, your results?",7/25/1995,336705,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: That's correct.,7/25/1995,336706,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: Regarding the validation studies, sir, you indicate that the Quantico's result was that your method of extraction of EDTA recovered 93 percent?",7/25/1995,336707,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: On the average, recovered 93 percent, yes.",7/25/1995,336708,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: Now, do you use the same method of extraction for the evidence stains as you do for the reference sample?",7/25/1995,336709,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: Yes.,7/25/1995,336710,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: So, for example, if you are extracting EDTA from a cloth swatch that has blood from the reference tube of Miss Brown and you are extracting EDTA from a cloth swatch that has the blood from the rear gate, are you using the same method?",7/25/1995,336711,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Yes, I am.",7/25/1995,336712,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: So whatever amount of EDTA you're leaving behind in the reference stain, you're leaving behind in the evidence stain.",7/25/1995,336713,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Is that a fair statement?,7/25/1995,336714,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Uh, it--I mean, it's a fair statement.",7/25/1995,336715,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"I mean, it wouldn't be exactly a hundred percent.",7/25/1995,336716,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"You know, you wouldn't get 93 in this and 93, but it would be relatively the same amount that you would expect to extract, yes.",7/25/1995,336717,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: And what impact, if any, would there be on the ultimate result in terms of the relative degrees or relative amounts of EDTA would there be on any discrepancy in the amount of EDTA extracted from the evidence stain versus the reference sample?",7/25/1995,336718,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: In my opinion, it would have no effect whatsoever.",7/25/1995,336719,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"We're dealing with chemicals that are placed in blood at 2,000 parts per million.",7/25/1995,336720,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"That is a very, very, very large quantity of any substance in the blood.",7/25/1995,336721,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"It's very easy to distinguish 2,000 parts per million from what could possibly be one part per million.",7/25/1995,336722,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"If you notice, I said ""Possibly.""",7/25/1995,336723,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
I'm not even convinced that what was found in my blood and in the sock and in the gate was EDTA: I was not able to prove that.,7/25/1995,336724,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"If it is, it's still in the parts per million at the most.",7/25/1995,336725,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"And to distinguish between parts per million, one or two parts per million and 2,000 parts per million in chemistry with analytical instruments is very easy to do.",7/25/1995,336726,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: So, sir, then are you saying that the dramatic difference in the results more than compensates for any small degree of variation?",7/25/1995,336727,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: That is correct.,7/25/1995,336728,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: Now, you indicated earlier that you were not trying to quantitate, in other words, you weren't trying to tell us, well, I had precisely these many parts per million of EDTA in evidence stains and these many parts per million in the reference stain.",7/25/1995,336729,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Do you recall testifying to that?,7/25/1995,336730,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: Yes.,7/25/1995,336731,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
That's correct.,7/25/1995,336732,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
My whole reason for doing this was to differentiate preserved blood from nonpreserved blood.,7/25/1995,336733,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MS. CLARK: And for that purpose, sir, is it necessary to quantify with the precision that you were being asked about before, that is to perform tests specifically for quantification?",7/25/1995,336734,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: No, it is not.",7/25/1995,336735,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: Why not?,7/25/1995,336736,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: Because the instrument is--was mentioned earlier, had a full fold--four-fold difference in the 50 part per billion standard.",7/25/1995,336737,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Between one part per million and a thousand parts per million, we have a thousand fold difference.",7/25/1995,336738,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"So these are very, very, very different numbers.",7/25/1995,336739,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"It's very easy to differentiate between what possibly could be one or two parts per million from what is between 1,000 and 2,000 parts per million.",7/25/1995,336740,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: And so it becomes very obvious without the need for precise quantification?,7/25/1995,336741,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MR. MARTZ: That's correct.,7/25/1995,336742,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: Let me show you some charts.,7/25/1995,336743,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"I would rather--I was going to ask you more about that, but I think maybe we can show it-- MR. MARTZ: Okay.",7/25/1995,336744,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: --better than tell us.,7/25/1995,336745,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"Now, you indicated to us I think earlier that you began testing on February 8th?",7/25/1995,336746,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"MR. MARTZ: February 8th was the day that I had someone prepare two samples in the laboratory, one with EDTA and one without from two test tubes of blood that we had in the laboratory from the same person.",7/25/1995,336747,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
Those were prepared.,7/25/1995,336748,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
"I analyzed them with the procedure developed by myself and--at Quantico and analyzed for the presence of EDTA, and I was very easily able to determine which of the stains came from preserved blood.",7/25/1995,336749,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
MS. CLARK: And how was that?,7/25/1995,336750,,,,,,,,,,,,,,,,,,,,,0,0,0,0,
